Variant,Sequence_Step,Feature,Mean_Abs_IG,Std_Abs_IG_Across_Folds,Mean_IG,N_Folds,Presence_Rate
A,5,RSI_14_Scaled,0.001989488533581607,0.0014519974785955248,0.00030836815130896866,4,1.0
A,19,RSI_14_Scaled,0.001987194875255227,0.0014217072946456394,0.0007083296659402549,4,1.0
A,18,RSI_14_Scaled,0.001982567860977724,0.001432472042355165,0.0006858277847641148,4,1.0
A,14,RSI_14_Scaled,0.0019748450140468776,0.0016193044605688472,0.00046299167661345564,4,1.0
A,3,RSI_14_Scaled,0.0019740479910979047,0.001575813026532348,0.0002819771943904925,4,1.0
A,21,RSI_14_Scaled,0.0019641616381704807,0.0013201651917634579,0.0007376141293207183,4,1.0
A,30,QQQ_Log_Return_1D,0.0019609450246207416,0.0007656117546569717,-0.00018868472579924855,4,1.0
A,17,RSI_14_Scaled,0.0019583026733016595,0.0014419966278206664,0.0006177564137033187,4,1.0
A,11,RSI_14_Scaled,0.001957052736543119,0.0014265872244896701,0.0003642791780293919,4,1.0
A,12,RSI_14_Scaled,0.0019562584348022938,0.0014294305629683633,0.00038923519605305046,4,1.0
A,22,RSI_14_Scaled,0.0019510870770318434,0.001299854337699748,0.0007760406770103145,4,1.0
A,12,QQQ_Log_Return_1D,0.0019438507151789963,0.0003220643944455942,9.256127668777481e-07,4,1.0
A,16,RSI_14_Scaled,0.0019428285013418645,0.0014783169378945944,0.0005614047804556321,4,1.0
A,7,RSI_14_Scaled,0.0019380393787287176,0.0012736490369341113,0.00034109298530893284,4,1.0
A,16,QQQ_Log_Return_1D,0.0019330917275510728,0.00033224621918260557,6.959979145904072e-05,4,1.0
A,8,RSI_14_Scaled,0.001932853730977513,0.0012554020032228474,0.0003578464709335094,4,1.0
A,27,RSI_14_Scaled,0.0019316081597935408,0.0013225753869378141,0.0009377985006722156,4,1.0
A,15,RSI_14_Scaled,0.0019302431319374591,0.001517917308449587,0.0005588222247752128,4,1.0
A,20,RSI_14_Scaled,0.0019294937665108591,0.001338586406282289,0.0006987190718064085,4,1.0
A,9,RSI_14_Scaled,0.0019286061869934201,0.001296208329160886,0.00040775982051854953,4,1.0
A,2,Daily_Range_Z60,0.0019145370024489239,0.0007245520794259035,-3.582775389077142e-05,4,1.0
A,19,Daily_Range_Z60,0.0019047014648094773,0.0008157634924672939,-0.00016391179815400392,4,1.0
A,4,RSI_14_Scaled,0.0019040884508285671,0.0013984732200846995,0.0003143495941912988,4,1.0
A,23,RSI_14_Scaled,0.0019013689743587747,0.0013237932251426957,0.0008115486780297942,4,1.0
A,29,Daily_Range_Z60,0.0019013663550140336,0.0006858211246488537,-6.656173718511127e-05,4,1.0
A,30,RSI_14_Scaled,0.0018961761379614472,0.0013329563090669174,0.0008958133751093555,4,1.0
A,24,QQQ_Log_Return_1D,0.0018916253466159105,0.0004894261049625142,-0.00020787436369573697,4,1.0
A,10,RSI_14_Scaled,0.0018883498996729031,0.0012566374908179027,0.00040767671816865914,4,1.0
A,26,RSI_14_Scaled,0.0018847445462597534,0.001236124984013844,0.0008582376376580214,4,1.0
A,28,RSI_14_Scaled,0.0018830077024176717,0.0012954756569664846,0.0009707658309707767,4,1.0
A,25,RSI_14_Scaled,0.0018738415965344757,0.0012702622144268277,0.0007796096597303404,4,1.0
