Variant,Feature,Mean_Coefficient,Mean_Abs_Coefficient,Std_Coefficient,Positive_Folds,Negative_Folds,N_Folds,Sign_Consistency,Presence_Rate
C,categorical__Ticker_MSFT,0.28481974356646966,0.28481974356646966,0.21673690685265548,4,0,4,1.0,1.0
C,binary__Has_Item_2_01,-0.07583296193820126,0.23728664821244885,0.27573468521551947,1,2,3,0.6666666666666666,0.75
C,numeric__Stock_vs_QQQ_5D,-0.23176358500387598,0.23176358500387598,0.033626709130609535,0,4,4,1.0,1.0
C,categorical__Ticker_NVDA,-0.23147678874361227,0.23147678874361227,0.08105122753969697,0,4,4,1.0,1.0
C,numeric__Daily_Range,-0.21258563577451278,0.21258563577451278,0.01495045800383089,0,4,4,1.0,1.0
C,binary__Has_Item_5_07,-0.20354512057166105,0.20354512057166105,0.11444114523526504,0,4,4,1.0,1.0
C,numeric__RSI_14,0.1820890393886359,0.1820890393886359,0.06542851958784293,4,0,4,1.0,1.0
C,binary__Has_Item_2_03,-0.1817320263314549,0.1817320263314549,0.10932309438215056,0,4,4,1.0,1.0
C,binary__Has_Event_Buyback,0.1765527682715364,0.1765527682715364,0.03983075786258588,4,0,4,1.0,1.0
C,numeric__Stock_vs_QQQ_1D,-0.17508133727432246,0.17508133727432246,0.026763451599230312,0,4,4,1.0,1.0
C,categorical__Ticker_TSLA,-0.1719762180666361,0.1719762180666361,0.13322845181814377,0,4,4,1.0,1.0
C,categorical__Ticker_ADBE,-0.11578261317570178,0.11578261317570178,0.09330360912322401,0,4,4,1.0,1.0
C,sentiment__Mean_Net_Sentiment,0.07902985864072853,0.11332043700656978,0.10455000427843993,3,1,4,0.75,1.0
C,numeric__Volatility_14D,0.10897350866315911,0.10897350866315911,0.02144511388758215,4,0,4,1.0,1.0
C,binary__Has_Item_2_02,0.025576841054582328,0.09442013279166736,0.12642991203313483,3,1,4,0.75,1.0
C,numeric__QQQ_Volatility_14D,0.09188398731158544,0.09188398731158544,0.029262004046660448,4,0,4,1.0,1.0
C,binary__Has_Item_5_02,0.07768144712372316,0.07768144712372316,0.04508702263325404,4,0,4,1.0,1.0
C,binary__Has_Item_8_01,-0.023584357970269663,0.06772116650285966,0.09106343101766623,2,2,4,0.5,1.0
C,numeric__QQQ_Log_Return_5D,0.06768384951531434,0.06768384951531434,0.04141367964362036,4,0,4,1.0,1.0
C,sentiment__Sentiment_Momentum_3,-0.019764390690215645,0.05437181167331025,0.06270771583024082,1,3,4,0.75,1.0
C,categorical__Ticker_QCOM,-0.01518635287059876,0.05222522463547098,0.06453004522541446,2,2,4,0.5,1.0
C,numeric__Price_to_SMA20,-0.018667764083662323,0.04458434678081582,0.06927333935892938,2,2,4,0.5,1.0
C,numeric__Relative_Volume_20D,-0.012907456813329464,0.04407885833013674,0.05972968442618953,2,2,4,0.5,1.0
C,numeric__QQQ_Log_Return_3D,-0.014282860558720316,0.027293431715266527,0.04006655905828671,1,3,4,0.75,1.0
C,numeric__Stock_vs_QQQ_3D,-0.009294640206303018,0.010863097037194359,0.0160412697320087,1,3,4,0.75,1.0
