Variant,Test_Year,Sequence_Step,Feature,Mean_Abs_IG,Mean_IG,Positive_Share,Negative_Share
A,2023,2,QQQ_Log_Return_1D,2.4580955937381077e-07,-7.513704325390336e-09,0.4576271186440678,0.5423728813559322
A,2023,2,QQQ_Log_Return_5D,9.263706033380004e-07,2.743034777097364e-08,0.5254237288135594,0.4745762711864407
A,2023,2,QQQ_Volatility_14D,4.355029261660093e-07,-2.671160643785697e-07,0.3305084745762712,0.6694915254237288
A,2023,3,Log_Return_1D_Z60,1.8761396631816751e-06,-3.2205090860770724e-07,0.423728813559322,0.576271186440678
A,2023,3,Log_Return_5D_Z60,3.164572490277351e-06,1.1245358422229401e-07,0.576271186440678,0.423728813559322
A,2023,3,Volatility_14D_Z60,4.181657914159587e-06,-2.4142914298863616e-06,0.2542372881355932,0.7457627118644068
A,2023,3,Relative_Volume_20D_Z60,1.9941519440180855e-06,3.341834826642298e-07,0.3644067796610169,0.635593220338983
A,2023,3,RSI_14_Scaled,1.9190624698239844e-06,-3.112077422429138e-07,0.3898305084745763,0.6101694915254238
A,2023,3,Price_to_SMA20_Z60,3.2440898394270334e-06,-3.108241060090222e-07,0.4915254237288136,0.5084745762711864
A,2023,3,Intraday_Return_Z60,9.876521289697848e-07,-1.2370141178053018e-07,0.5084745762711864,0.4915254237288136
A,2023,3,Daily_Range_Z60,3.3230512599402573e-06,-1.8943794088954746e-08,0.423728813559322,0.576271186440678
A,2023,3,QQQ_Log_Return_1D,4.4286343836574815e-07,-3.705069673287653e-08,0.3898305084745763,0.6101694915254238
A,2023,3,QQQ_Log_Return_5D,1.1692767429849482e-06,-9.567740733018582e-08,0.4661016949152542,0.5338983050847458
A,2023,3,QQQ_Volatility_14D,6.613291247958841e-07,-4.4466565896073007e-07,0.3389830508474576,0.6610169491525424
A,2023,4,Log_Return_1D_Z60,2.546247515056166e-06,-7.55693861265172e-07,0.5338983050847458,0.4661016949152542
A,2023,4,Log_Return_5D_Z60,4.361696483101696e-06,-3.730446849203872e-07,0.4661016949152542,0.5338983050847458
A,2023,4,Volatility_14D_Z60,6.261570888455026e-06,-3.5098003081657225e-06,0.2457627118644068,0.7542372881355932
A,2023,4,Relative_Volume_20D_Z60,3.923913936887402e-06,4.643045485863695e-07,0.3983050847457627,0.6016949152542372
A,2023,4,RSI_14_Scaled,2.470002300469787e-06,-2.940993795164104e-07,0.423728813559322,0.576271186440678
A,2023,4,Price_to_SMA20_Z60,4.283911493985215e-06,-4.0356690078624524e-07,0.5508474576271186,0.4491525423728814
A,2023,4,Intraday_Return_Z60,1.3036186601311783e-06,-5.072808662021089e-08,0.5677966101694916,0.4322033898305085
A,2023,4,Daily_Range_Z60,4.573607384372735e-06,-1.013444602904201e-06,0.3305084745762712,0.6694915254237288
A,2023,4,QQQ_Log_Return_1D,6.447073133131198e-07,2.109229590985251e-08,0.4491525423728814,0.5508474576271186
A,2023,4,QQQ_Log_Return_5D,1.6810455463200924e-06,1.290720632596276e-07,0.4576271186440678,0.5423728813559322
A,2023,4,QQQ_Volatility_14D,1.0345103191866656e-06,-7.626151727890829e-07,0.2796610169491525,0.7203389830508474
A,2023,5,Log_Return_1D_Z60,3.614665956774843e-06,5.942799319313963e-08,0.5338983050847458,0.4661016949152542
A,2023,5,Log_Return_5D_Z60,6.275171017477987e-06,-8.989542266135686e-07,0.4576271186440678,0.5423728813559322
A,2023,5,Volatility_14D_Z60,8.921937478589825e-06,-5.171189513930585e-06,0.2288135593220339,0.7711864406779662
A,2023,5,Relative_Volume_20D_Z60,5.473535111377714e-06,-6.617036518719033e-08,0.3898305084745763,0.6101694915254238
A,2023,5,RSI_14_Scaled,3.8093346574896714e-06,-5.381243113333767e-07,0.4576271186440678,0.5423728813559322
A,2023,5,Price_to_SMA20_Z60,5.737915216741385e-06,-1.263809394913551e-06,0.4915254237288136,0.5084745762711864
A,2023,5,Intraday_Return_Z60,1.755131393110787e-06,-8.008221641375712e-08,0.5084745762711864,0.4915254237288136
