Event_Session,Strategy_Return_Gross,Strategy_Return_Net,Num_Positions,Equity,Running_Max,Drawdown,Family,Model,Portfolio_Type,Portfolio_Definition,Cost_Bps_Per_Side,Probability_Margin
2023-03-09,0.0057814810969630814,0.004781481096963081,1,0.9129919527743382,1.0,-0.0870080472256618,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-03-10,0.0,0.0,0,0.9129919527743382,1.0,-0.0870080472256618,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-03-13,0.0020926146022675063,0.0010926146022675063,1,0.9139895011136923,1.0,-0.08601049888630774,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-03-14,0.0,0.0,0,0.9139895011136923,1.0,-0.08601049888630774,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-03-15,0.0,0.0,0,0.9139895011136923,1.0,-0.08601049888630774,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-03-16,0.0,0.0,0,0.9139895011136923,1.0,-0.08601049888630774,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-03-17,0.0,0.0,0,0.9139895011136923,1.0,-0.08601049888630774,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-03-20,0.0,0.0,0,0.9139895011136923,1.0,-0.08601049888630774,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-03-21,0.0,0.0,0,0.9139895011136923,1.0,-0.08601049888630774,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-03-22,0.0,0.0,0,0.9139895011136923,1.0,-0.08601049888630774,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-03-23,0.0,0.0,0,0.9139895011136923,1.0,-0.08601049888630774,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-03-24,0.0,0.0,0,0.9139895011136923,1.0,-0.08601049888630774,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-03-27,0.0,0.0,0,0.9139895011136923,1.0,-0.08601049888630774,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-03-28,0.0,0.0,0,0.9139895011136923,1.0,-0.08601049888630774,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-03-29,0.0,0.0,0,0.9139895011136923,1.0,-0.08601049888630774,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-03-30,0.0,0.0,0,0.9139895011136923,1.0,-0.08601049888630774,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-03-31,0.0,0.0,0,0.9139895011136923,1.0,-0.08601049888630774,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-04-03,0.015020361140854921,0.01402036114085492,1,0.926803963998256,1.0,-0.07319603600174396,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-04-04,0.0,0.0,0,0.926803963998256,1.0,-0.07319603600174396,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-04-05,0.0,0.0,0,0.926803963998256,1.0,-0.07319603600174396,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-04-06,-0.0006547813003374703,-0.0016547813003374703,1,0.9252703061295531,1.0,-0.07472969387044692,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-04-10,0.0,0.0,0,0.9252703061295531,1.0,-0.07472969387044692,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
