Family,Model,Cost_Bps_Per_Side,Probability_Margin,Num_Candidate_Events,Num_Trades,Trade_Coverage,Active_Sessions,Mean_Trade_Return_Net,Median_Trade_Return_Net,Win_Rate,Avg_Win,Avg_Loss,Profit_Factor,Mean_Daily_Return_Net,Annualized_Return_Arithmetic,Annualized_Volatility,Sharpe,Sortino,HAC_t,HAC_p_value,HAC_p_value_Positive,Max_Drawdown,Cumulative_Return,CAGR,HAC_p_value_Holm,HAC_p_value_Positive_Holm
TabNet,TABNET B - MARKET + SEC,5.0,0.0,494,494,1.0,370,-0.0011568760640330018,-0.0011953764039318018,0.4331983805668016,0.008137482427694331,0.008260421482710322,0.7529109238257876,-0.0005293604679592653,-0.13339883792573484,0.11219681790954472,-1.1889716697071002,-1.510302490622643,-2.3206345213179143,0.020527817862070287,0.9897360910689649,-0.43682961327468706,-0.39529707677087467,-0.1300268116026002,0.431084175103476,1.0
TabNet,TABNET C - MARKET + SEC + FINBERT,5.0,0.0,494,494,1.0,370,-0.00030887481294684797,-0.0005955194803196331,0.46963562753036436,0.008344203811202962,0.007971142907613856,0.9269386727035712,-0.00013338528733539446,-0.0336130924085194,0.1126070799366682,-0.29849892588835336,-0.4269293306466836,-0.5527802519829796,0.5805502480226733,0.7097248759886634,-0.22200436910908583,-0.133915619153413,-0.039030671329345346,1.0,1.0
Transformer,TRANSFORMER A - MARKET SEQUENCE,5.0,0.0,494,494,1.0,370,0.0002692950752474274,-0.000466889619910176,0.4817813765182186,0.008712948508476284,0.007580663975957524,1.0685501088248517,9.729397437135632e-05,0.024518081541581794,0.11210061651811348,0.21871495717974135,0.3288972559355558,0.4101632601411319,0.6817831600394217,0.34089158001971087,-0.15605421393159047,0.06790585455681475,0.01835966031750691,1.0,1.0
Transformer,TRANSFORMER B - MARKET SEQUENCE + SEC,5.0,0.0,494,494,1.0,370,0.00015896877259610919,-0.0005594356445426931,0.4757085020242915,0.008722231887535611,0.0076107873355536326,1.039839090852171,2.8857817690554533e-05,0.007272170058019742,0.11231389329488646,0.064748624098768,0.0963849944794908,0.123453523533698,0.9017753568431043,0.45088767842155214,-0.1653760288392161,0.003548446811068917,0.000981357717846798,1.0,1.0
Transformer,TRANSFORMER C - MARKET SEQUENCE + SEC + FINBERT,5.0,0.0,494,494,1.0,370,-0.0005722663916376602,-0.0010815834543246297,0.44534412955465585,0.008556760166727845,0.007902141730471275,0.8694340862366741,-0.00017559808326110475,-0.044250716981798395,0.11229856967200047,-0.39404524127996515,-0.5794174881050178,-0.7218137409096491,0.47059524339966596,0.764702378300167,-0.27335261171392866,-0.166316501707235,-0.049123527578629256,1.0,1.0
Tree,TREE A - MARKET,5.0,0.0,494,494,1.0,370,-0.00046426554949648705,-0.0007156543234160531,0.46153846153846156,0.008343429137749886,0.008013718138564807,0.8924085631467793,-0.00019865262736518352,-0.05006046209602625,0.11280923982917626,-0.4437620727861596,-0.6069321474498263,-0.8436643461026475,0.3990796874103353,0.8004601562948324,-0.3203026830832729,-0.1838149823029248,-0.05469271575357182,1.0,1.0
Tree,TREE B - MARKET + SEC,5.0,0.0,494,494,1.0,370,0.00023918623088903468,-0.0005316928634475073,0.4777327935222672,0.008765156099974263,0.007559762951685051,1.0605808329692954,6.508801589145872e-05,0.016402180004647597,0.11225198915826543,0.14611928151689113,0.2127435600016736,0.2915586479504614,0.7706908365802226,0.3853454182901113,-0.14973606323044897,0.03706314207500516,0.010128643336093424,1.0,1.0
Tree,TREE C - MARKET + SEC + FINBERT,5.0,0.0,494,494,1.0,370,-0.0007018437166399569,-0.0014202861073105135,0.4251012145748988,0.008854118740770528,0.007767872294302641,0.8428382167227247,-0.0002470092679347646,-0.062246335519560686,0.11294584279524832,-0.5511166589141554,-0.7736438296368856,-1.0898718390175315,0.2760593916113954,0.8619703041943023,-0.309469722845513,-0.21885955423343073,-0.0661112200297802,1.0,1.0
XGBoost,XGB A - MARKET,5.0,0.0,494,494,1.0,370,-0.0006116851753129863,-0.0006067723990455512,0.46963562753036436,0.008021879033809874,0.008256673329956131,0.8603154058194377,-0.00011671519454262251,-0.029412229024740874,0.11160328774922268,-0.26354267529135345,-0.3716059455260651,-0.5198960109180921,0.6032630557166919,0.6983684721416541,-0.21448493711084748,-0.12037877735650448,-0.034894743854818056,1.0,1.0
XGBoost,XGB B - MARKET + SEC,5.0,0.0,494,494,1.0,370,-0.0002666179563014467,-0.0003522329780868685,0.4777327935222672,0.008225279711571956,0.008034400319162388,0.9364605909797019,4.538702578257717e-05,0.011437530497209447,0.11086263289425209,0.10316849057805888,0.15240507684570612,0.19565296218847505,0.8449256745969831,0.42246283729849154,-0.17052929240748316,0.019287645643918605,0.005304188083777861,1.0,1.0
XGBoost,XGB C - MARKET + SEC + FINBERT,5.0,0.0,494,494,1.0,370,-0.00020411977831731888,-0.00030700435591357513,0.4797570850202429,0.008246336582014097,0.007996953075587922,0.9509369699590692,5.747321889781175e-05,0.014483251162248561,0.11211405912643915,0.12918318429551062,0.1886447042667897,0.24542823194865598,0.8061804536321916,0.4030902268160958,-0.18262892832294075,0.029991521432950252,0.008216548489622388,1.0,1.0
