Family,Model,Portfolio_Type,Portfolio_Definition,Cost_Bps_Per_Side,Probability_Margin,Num_Candidate_Events,Num_Trades,Trade_Coverage,Active_Sessions,Mean_Trade_Return_Net,Median_Trade_Return_Net,Win_Rate,Avg_Win,Avg_Loss,Profit_Factor,Mean_Daily_Return_Net,Annualized_Return_Arithmetic,Annualized_Volatility,Sharpe,Sortino,HAC_t,HAC_p_value,HAC_p_value_Positive,Max_Drawdown,Cumulative_Return,CAGR,HAC_p_value_Holm,HAC_p_value_Positive_Holm
LSTM,LSTM A - MARKET SEQUENCE,Value,fixed_ex_ante_mature_semiconductor_proxy,5.0,0.0,95,95,1.0,95,0.00040234806173869696,-0.00018326625623138384,0.4842105263157895,0.009942652998892411,0.008553856573140301,1.0911942539610164,4.214229974109839e-05,0.010619859534756793,0.06345593170997794,0.16735802703668923,0.25881611890828077,0.29879027851909906,0.7651685871169774,0.3825842935584887,-0.1110103180506804,0.03149402552464364,0.008623602790513996,1.0,1.0
LSTM,LSTM B - MARKET SEQUENCE + SEC,Dividend,fixed_ex_ante_dividend_payers,5.0,0.0,231,231,1.0,213,-0.00016232551615225017,-0.0003224631318938789,0.4675324675324675,0.008141512267443753,0.007453500155407279,0.9590990499368777,-1.8912877904774435e-05,-0.004766045232003157,0.07727187643820378,-0.06167891154830026,-0.09382627489757064,-0.10474664413528571,0.91660003283155,0.541699983584225,-0.14821099150720551,-0.027461969899020056,-0.0076813303847853565,1.0,1.0
LSTM,LSTM B - MARKET SEQUENCE + SEC,Growth,fixed_ex_ante_growth_companies,5.0,0.0,297,297,1.0,248,7.581540931250706e-05,-0.0003820028242798581,0.48148148148148145,0.008895856854662208,0.008114223075655074,1.0180196465986047,-3.658901832570143e-05,-0.00922043261807676,0.09654370285964774,-0.09550527217172458,-0.13915499652565855,-0.17757276577208678,0.8590982063120911,0.5704508968439544,-0.14980339746581806,-0.04868897976883502,-0.013726879217953347,1.0,1.0
LSTM,LSTM B - MARKET SEQUENCE + SEC,Momentum,positive_relative_momentum_60d,5.0,0.0,251,251,1.0,222,-0.0010313183946769875,-0.0006052375576555682,0.4342629482071713,0.00827580538729461,0.008175519044218565,0.7770215940033001,-0.00018625105407231606,-0.046935265626223646,0.09133755938657916,-0.5138659927136193,-0.7235803779415918,-0.9042309288572785,0.3661133327431982,0.8169433336284009,-0.22717276472115844,-0.16800334770586622,-0.04965669268032047,1.0,1.0
LSTM,LSTM B - MARKET SEQUENCE + SEC,Value,fixed_ex_ante_mature_semiconductor_proxy,5.0,0.0,95,95,1.0,95,-0.000620754150125197,-0.0002090736924000849,0.4631578947368421,0.009313591854764915,0.009191562468069606,0.8741991087750225,-6.501835089514192e-05,-0.016384624425575763,0.06387570282856476,-0.2565079318117292,-0.3662205840359379,-0.45850949013760994,0.6466964087952625,0.6766517956023688,-0.13819657025834187,-0.06414823772719747,-0.018191420089375354,1.0,1.0
LSTM,LSTM C - MARKET SEQUENCE + SEC + FINBERT,Dividend,fixed_ex_ante_dividend_payers,5.0,0.0,231,231,1.0,213,-0.0005312973062181988,-0.0006944369679824361,0.44155844155844154,0.008265258007825535,0.0074867131359271965,0.8729224917000948,-0.00012493565230466206,-0.03148378438077484,0.07851547961548973,-0.40098824505637537,-0.5842173179943431,-0.7209296976836707,0.471138747725905,0.7644306261370475,-0.1729871009474545,-0.11695442665403777,-0.0338557994208204,1.0,1.0
LSTM,LSTM C - MARKET SEQUENCE + SEC + FINBERT,Growth,fixed_ex_ante_growth_companies,5.0,0.0,297,297,1.0,248,0.00018484315039812266,-0.00034521869966252974,0.4882154882154882,0.008880894288830812,0.008110731948764641,1.0445303567634336,4.1202314990288525e-06,0.0010382983377552708,0.09653555900828562,0.010755604964862263,0.01566815278552017,0.01957102352656592,0.9843898884003208,0.4921949442001604,-0.15840354227774855,-0.012913101858062603,-0.003592642081562958,1.0,1.0
LSTM,LSTM C - MARKET SEQUENCE + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0,251,251,1.0,222,-0.0005964525924165178,-0.00047034326411882123,0.450199203187251,0.00843924502023405,0.007995248463644881,0.8643128873488549,-0.00013200732431156836,-0.033265845726515225,0.09117695240768493,-0.364849283158442,-0.5261851984309511,-0.6820197736711718,0.49540076298551644,0.7522996185072418,-0.1661277829648088,-0.12597768087029393,-0.036599763294398735,1.0,1.0
LSTM,LSTM C - MARKET SEQUENCE + SEC + FINBERT,Value,fixed_ex_ante_mature_semiconductor_proxy,5.0,0.0,95,95,1.0,95,-0.00013486849179667032,-0.0001518413719143732,0.4842105263157895,0.00936690457348394,0.009054900348998876,0.9711228485222972,-1.4126247762606032e-05,-0.00355981443617672,0.06368236502980987,-0.055899532539508585,-0.0815659492419857,-0.09982351796848216,0.9205065201055463,0.5397467399472269,-0.13819657025834198,-0.019889601200070106,-0.005547779905666461,1.0,1.0
Logistic,MODEL A - MARKET,Dividend,fixed_ex_ante_dividend_payers,5.0,0.0,231,231,1.0,213,0.00016424020080434178,-0.0001518413719143732,0.48484848484848486,0.008157576381145839,0.007358899733634712,1.0433243045653788,0.0001017997261920768,0.025653531000403355,0.0786111418306097,0.3263345424454114,0.5176662862839961,0.6576545279740647,0.5109271960021199,0.25546359800105994,-0.11641847111575376,0.08466035121710402,0.022759092905017875,1.0,1.0
