Sequence_Row_ID,Ticker,Accession,Filing_Date,Feature_Cutoff_Session,Event_Session,Publication_Period,Target_Tradable_Abnormal_1D,Test_Year
53,TSLA,0001564590-20-018196,2020-04-23,2020-04-23,2020-04-24,AFTER_HOURS,1,2020
54,NVDA,0001045810-20-000052,2020-04-27,2020-04-24,2020-04-27,PRE_MARKET,1,2020
55,AMD,0000002488-20-000048,2020-04-28,2020-04-28,2020-04-29,AFTER_HOURS,0,2020
56,GOOGL,0001652044-20-000018,2020-04-28,2020-04-28,2020-04-29,AFTER_HOURS,0,2020
57,NFLX,0001193125-20-123239,2020-04-28,2020-04-28,2020-04-29,AFTER_HOURS,1,2020
58,META,0001326801-20-000046,2020-04-29,2020-04-29,2020-04-30,AFTER_HOURS,0,2020
59,MSFT,0001193125-20-126089,2020-04-29,2020-04-29,2020-04-30,AFTER_HOURS,1,2020
60,QCOM,0001728949-20-000030,2020-04-29,2020-04-29,2020-04-30,AFTER_HOURS,0,2020
61,TSLA,0001564590-20-019776,2020-04-29,2020-04-29,2020-04-30,AFTER_HOURS,0,2020
62,AAPL,0000320193-20-000050,2020-04-30,2020-04-30,2020-05-01,AFTER_HOURS,1,2020
63,AMZN,0001018724-20-000008,2020-04-30,2020-04-30,2020-05-01,AFTER_HOURS,0,2020
64,MSFT,0001193125-20-128779,2020-04-30,2020-04-30,2020-05-01,AFTER_HOURS,1,2020
65,AVGO,0001193125-20-133159,2020-05-05,2020-05-04,2020-05-05,PRE_MARKET,0,2020
66,QCOM,0001728949-20-000037,2020-05-04,2020-05-04,2020-05-05,AFTER_HOURS,1,2020
67,AVGO,0001193125-20-134440,2020-05-06,2020-05-05,2020-05-06,PRE_MARKET,0,2020
68,TSLA,0001564590-20-022062,2020-05-06,2020-05-06,2020-05-07,AFTER_HOURS,1,2020
69,AVGO,0001193125-20-137528,2020-05-08,2020-05-08,2020-05-11,AFTER_HOURS,0,2020
70,QCOM,0001104659-20-058923,2020-05-08,2020-05-08,2020-05-11,AFTER_HOURS,0,2020
71,TSLA,0001564590-20-023655,2020-05-08,2020-05-08,2020-05-11,AFTER_HOURS,1,2020
72,AAPL,0001193125-20-139112,2020-05-11,2020-05-11,2020-05-12,AFTER_HOURS,1,2020
73,AMD,0000002488-20-000068,2020-05-12,2020-05-12,2020-05-13,AFTER_HOURS,0,2020
74,MSFT,0001193125-20-142890,2020-05-14,2020-05-14,2020-05-15,AFTER_HOURS,1,2020
75,NFLX,0001193125-20-144151,2020-05-15,2020-05-15,2020-05-18,AFTER_HOURS,0,2020
76,AVGO,0001193125-20-146131,2020-05-19,2020-05-19,2020-05-20,AFTER_HOURS,0,2020
77,INTC,0001193125-20-147273,2020-05-20,2020-05-20,2020-05-21,AFTER_HOURS,0,2020
78,AVGO,0001193125-20-148648,2020-05-21,2020-05-21,2020-05-22,AFTER_HOURS,1,2020
79,NVDA,0001045810-20-000063,2020-05-21,2020-05-21,2020-05-22,AFTER_HOURS,1,2020
80,AMZN,0001018724-20-000015,2020-05-29,2020-05-29,2020-06-01,AFTER_HOURS,1,2020
81,META,0001326801-20-000058,2020-05-29,2020-05-29,2020-06-01,AFTER_HOURS,1,2020
82,MSFT,0001193125-20-157234,2020-06-01,2020-06-01,2020-06-02,AFTER_HOURS,0,2020
83,AMZN,0001193125-20-159531,2020-06-03,2020-06-03,2020-06-04,AFTER_HOURS,0,2020
84,AVGO,0001193125-20-159573,2020-06-03,2020-06-03,2020-06-04,AFTER_HOURS,1,2020
85,AVGO,0001730168-20-000099,2020-06-04,2020-06-04,2020-06-05,AFTER_HOURS,0,2020
86,GOOGL,0001652044-20-000027,2020-06-05,2020-06-05,2020-06-08,AFTER_HOURS,1,2020
87,NFLX,0001065280-20-000250,2020-06-09,2020-06-09,2020-06-10,AFTER_HOURS,0,2020
88,ADBE,0000796343-20-000129,2020-06-11,2020-06-11,2020-06-12,AFTER_HOURS,1,2020
89,NVDA,0001045810-20-000103,2020-06-15,2020-06-15,2020-06-16,AFTER_HOURS,0,2020
90,TSLA,0001564590-20-029536,2020-06-16,2020-06-16,2020-06-17,AFTER_HOURS,1,2020
91,INTC,0001193125-20-171288,2020-06-17,2020-06-17,2020-06-18,AFTER_HOURS,0,2020
92,AMZN,0001193125-20-176528,2020-06-23,2020-06-23,2020-06-24,AFTER_HOURS,1,2020
93,MSFT,0001193125-20-180036,2020-06-26,2020-06-25,2020-06-26,PRE_MARKET,1,2020
94,AVGO,0001730168-20-000126,2020-06-26,2020-06-26,2020-06-29,AFTER_HOURS,0,2020
95,MSFT,0001193125-20-184744,2020-07-01,2020-06-30,2020-07-01,PRE_MARKET,0,2020
96,TSLA,0001564590-20-031314,2020-06-30,2020-06-30,2020-07-01,AFTER_HOURS,1,2020
97,TSLA,0001564590-20-031568,2020-07-02,2020-07-01,2020-07-02,PRE_MARKET,0,2020
98,NVDA,0001045810-20-000127,2020-07-13,2020-07-13,2020-07-14,AFTER_HOURS,1,2020
99,NFLX,0001065280-20-000306,2020-07-16,2020-07-16,2020-07-17,AFTER_HOURS,0,2020
100,MSFT,0001193125-20-197109,2020-07-22,2020-07-22,2020-07-23,AFTER_HOURS,1,2020
101,TSLA,0001564590-20-033069,2020-07-22,2020-07-22,2020-07-23,AFTER_HOURS,0,2020
102,INTC,0000050863-20-000025,2020-07-23,2020-07-23,2020-07-24,AFTER_HOURS,0,2020
103,QCOM,0001728949-20-000047,2020-07-24,2020-07-24,2020-07-27,AFTER_HOURS,1,2020
104,INTC,0001193125-20-199804,2020-07-27,2020-07-27,2020-07-28,AFTER_HOURS,1,2020
105,AMD,0000002488-20-000101,2020-07-28,2020-07-28,2020-07-29,AFTER_HOURS,1,2020
106,QCOM,0001728949-20-000056,2020-07-29,2020-07-29,2020-07-30,AFTER_HOURS,1,2020
107,AAPL,0000320193-20-000060,2020-07-30,2020-07-30,2020-07-31,AFTER_HOURS,1,2020
108,AMZN,0001018724-20-000019,2020-07-30,2020-07-30,2020-07-31,AFTER_HOURS,0,2020
109,GOOGL,0001652044-20-000031,2020-07-30,2020-07-30,2020-07-31,AFTER_HOURS,0,2020
110,META,0001326801-20-000073,2020-07-30,2020-07-30,2020-07-31,AFTER_HOURS,0,2020
111,MSFT,0001193125-20-207517,2020-08-03,2020-07-31,2020-08-03,PRE_MARKET,1,2020
112,QCOM,0001104659-20-090597,2020-08-05,2020-08-04,2020-08-05,PRE_MARKET,1,2020
113,GOOGL,0001193125-20-210772,2020-08-05,2020-08-05,2020-08-06,AFTER_HOURS,1,2020
114,AAPL,0001193125-20-213158,2020-08-07,2020-08-07,2020-08-10,AFTER_HOURS,1,2020
115,AMD,0000002488-20-000110,2020-08-11,2020-08-11,2020-08-12,AFTER_HOURS,1,2020
116,TSLA,0001564590-20-039353,2020-08-11,2020-08-11,2020-08-12,AFTER_HOURS,1,2020
117,INTC,0001193125-20-220333,2020-08-14,2020-08-14,2020-08-17,AFTER_HOURS,0,2020
118,QCOM,0001104659-20-096322,2020-08-18,2020-08-17,2020-08-18,PRE_MARKET,0,2020
119,INTC,0001193125-20-224772,2020-08-19,2020-08-19,2020-08-20,AFTER_HOURS,0,2020
120,NVDA,0001045810-20-000145,2020-08-19,2020-08-19,2020-08-20,AFTER_HOURS,0,2020
121,AAPL,0001193125-20-225672,2020-08-20,2020-08-20,2020-08-21,AFTER_HOURS,1,2020
122,TSLA,0001193125-20-236678,2020-09-01,2020-08-31,2020-09-01,PRE_MARKET,0,2020
123,AVGO,0001730168-20-000154,2020-09-03,2020-09-03,2020-09-04,AFTER_HOURS,1,2020
124,NFLX,0001193125-20-240074,2020-09-04,2020-09-04,2020-09-08,AFTER_HOURS,1,2020
125,TSLA,0001564590-20-042696,2020-09-08,2020-09-04,2020-09-08,PRE_MARKET,0,2020
126,AMZN,0001018724-20-000026,2020-09-09,2020-09-09,2020-09-10,AFTER_HOURS,0,2020
127,NVDA,0001193125-20-244601,2020-09-14,2020-09-11,2020-09-14,PRE_MARKET,0,2020
128,ADBE,0000796343-20-000197,2020-09-15,2020-09-15,2020-09-16,AFTER_HOURS,0,2020
129,MSFT,0001193125-20-250163,2020-09-21,2020-09-21,2020-09-22,AFTER_HOURS,1,2020
130,TSLA,0001564590-20-044548,2020-09-24,2020-09-24,2020-09-25,AFTER_HOURS,1,2020
131,GOOGL,0001193125-20-254587,2020-09-25,2020-09-25,2020-09-28,AFTER_HOURS,0,2020
132,TSLA,0001564590-20-045592,2020-10-02,2020-10-01,2020-10-02,PRE_MARKET,0,2020
133,ADBE,0000796343-20-000212,2020-10-06,2020-10-06,2020-10-07,AFTER_HOURS,1,2020
134,INTC,0001193125-20-272580,2020-10-20,2020-10-19,2020-10-20,PRE_MARKET,0,2020
135,GOOGL,0001193125-20-272940,2020-10-20,2020-10-20,2020-10-21,AFTER_HOURS,1,2020
136,NFLX,0001065280-20-000448,2020-10-20,2020-10-20,2020-10-21,AFTER_HOURS,0,2020
137,TSLA,0001564590-20-047108,2020-10-21,2020-10-21,2020-10-22,AFTER_HOURS,0,2020
138,INTC,0000050863-20-000042,2020-10-22,2020-10-22,2020-10-23,AFTER_HOURS,0,2020
139,ADBE,0000796343-20-000218,2020-10-23,2020-10-23,2020-10-26,AFTER_HOURS,0,2020
140,GOOGL,0001193125-20-275550,2020-10-23,2020-10-23,2020-10-26,AFTER_HOURS,0,2020
141,AMD,0001193125-20-277468,2020-10-27,2020-10-26,2020-10-27,PRE_MARKET,0,2020
142,GOOGL,0001652044-20-000038,2020-10-26,2020-10-26,2020-10-27,AFTER_HOURS,1,2020
143,AMD,0001193125-20-278572,2020-10-27,2020-10-27,2020-10-28,AFTER_HOURS,0,2020
144,MSFT,0001193125-20-278410,2020-10-27,2020-10-27,2020-10-28,AFTER_HOURS,0,2020
145,AAPL,0000320193-20-000094,2020-10-29,2020-10-29,2020-10-30,AFTER_HOURS,0,2020
146,AMZN,0001018724-20-000028,2020-10-29,2020-10-29,2020-10-30,AFTER_HOURS,0,2020
147,GOOGL,0001652044-20-000046,2020-10-29,2020-10-29,2020-10-30,AFTER_HOURS,0,2020
148,META,0001326801-20-000081,2020-10-29,2020-10-29,2020-10-30,AFTER_HOURS,0,2020
149,QCOM,0001728949-20-000066,2020-11-04,2020-11-04,2020-11-05,AFTER_HOURS,0,2020
150,NVDA,0001045810-20-000181,2020-11-09,2020-11-09,2020-11-10,AFTER_HOURS,0,2020
151,NVDA,0001045810-20-000187,2020-11-18,2020-11-18,2020-11-19,AFTER_HOURS,1,2020
152,QCOM,0001728949-20-000070,2020-11-19,2020-11-19,2020-11-20,AFTER_HOURS,0,2020
153,TSLA,0001193125-20-312194,2020-12-08,2020-12-07,2020-12-08,PRE_MARKET,1,2020
154,ADBE,0000796343-20-000248,2020-12-10,2020-12-09,2020-12-10,PRE_MARKET,0,2020
155,AVGO,0001193125-20-315010,2020-12-10,2020-12-10,2020-12-11,AFTER_HOURS,1,2020
156,QCOM,0001104659-20-134200,2020-12-10,2020-12-10,2020-12-11,AFTER_HOURS,0,2020
157,TSLA,0001564590-20-056725,2020-12-10,2020-12-10,2020-12-11,AFTER_HOURS,0,2020
158,NFLX,0001065280-20-000526,2020-12-14,2020-12-14,2020-12-15,AFTER_HOURS,0,2020
159,NFLX,0001065280-20-000530,2020-12-18,2020-12-18,2020-12-21,AFTER_HOURS,0,2020
160,GOOGL,0001193125-20-323272,2020-12-21,2020-12-21,2020-12-22,AFTER_HOURS,0,2020
161,NFLX,0001065280-20-000533,2020-12-28,2020-12-28,2020-12-29,AFTER_HOURS,1,2020
162,AVGO,0001193125-21-000394,2021-01-04,2020-12-31,2021-01-04,PRE_MARKET,0,2021
163,TSLA,0001564590-21-000010,2021-01-04,2020-12-31,2021-01-04,PRE_MARKET,1,2021
164,AVGO,0001193125-21-001276,2021-01-04,2021-01-04,2021-01-05,AFTER_HOURS,0,2021
165,AAPL,0001193125-21-001982,2021-01-05,2021-01-05,2021-01-06,AFTER_HOURS,0,2021
166,AMD,0000002488-21-000002,2021-01-06,2021-01-06,2021-01-07,AFTER_HOURS,1,2021
167,AVGO,0001193125-21-003380,2021-01-06,2021-01-06,2021-01-07,AFTER_HOURS,1,2021
168,QCOM,0001728949-21-000004,2021-01-08,2021-01-08,2021-01-11,AFTER_HOURS,1,2021
169,AMD,0000002488-21-000005,2021-01-12,2021-01-12,2021-01-13,AFTER_HOURS,0,2021
170,QCOM,0001728949-21-000009,2021-01-13,2021-01-12,2021-01-13,PRE_MARKET,1,2021
171,INTC,0001193125-21-009142,2021-01-14,2021-01-14,2021-01-15,AFTER_HOURS,0,2021
172,AVGO,0001193125-21-011422,2021-01-19,2021-01-19,2021-01-20,AFTER_HOURS,0,2021
173,NFLX,0001065280-21-000037,2021-01-19,2021-01-19,2021-01-20,AFTER_HOURS,1,2021
174,INTC,0000050863-21-000009,2021-01-21,2021-01-21,2021-01-22,AFTER_HOURS,0,2021
175,INTC,0001193125-21-014847,2021-01-22,2021-01-22,2021-01-25,AFTER_HOURS,0,2021
176,AMD,0000002488-21-000009,2021-01-26,2021-01-26,2021-01-27,AFTER_HOURS,0,2021
177,AMZN,0001193125-21-018066,2021-01-26,2021-01-26,2021-01-27,AFTER_HOURS,0,2021
178,MSFT,0001193125-21-017683,2021-01-26,2021-01-26,2021-01-27,AFTER_HOURS,0,2021
179,AAPL,0000320193-21-000009,2021-01-27,2021-01-27,2021-01-28,AFTER_HOURS,0,2021
180,ADBE,0000796343-21-000028,2021-01-27,2021-01-27,2021-01-28,AFTER_HOURS,1,2021
181,META,0001326801-21-000011,2021-01-27,2021-01-27,2021-01-28,AFTER_HOURS,0,2021
182,TSLA,0001564590-21-002645,2021-01-27,2021-01-27,2021-01-28,AFTER_HOURS,1,2021
183,AMZN,0001018724-21-000002,2021-02-02,2021-02-02,2021-02-03,AFTER_HOURS,0,2021
184,AVGO,0001193125-21-025889,2021-02-02,2021-02-02,2021-02-03,AFTER_HOURS,0,2021
185,GOOGL,0001652044-21-000006,2021-02-02,2021-02-02,2021-02-03,AFTER_HOURS,1,2021
186,QCOM,0001728949-21-000021,2021-02-03,2021-02-03,2021-02-04,AFTER_HOURS,0,2021
187,AAPL,0001193125-21-032394,2021-02-08,2021-02-08,2021-02-09,AFTER_HOURS,0,2021
188,MSFT,0001193125-21-044940,2021-02-16,2021-02-16,2021-02-17,AFTER_HOURS,1,2021
189,INTC,0001193125-21-047794,2021-02-18,2021-02-18,2021-02-19,AFTER_HOURS,1,2021
190,AMD,0000002488-21-000033,2021-02-22,2021-02-22,2021-02-23,AFTER_HOURS,1,2021
191,AAPL,0001193125-21-054710,2021-02-24,2021-02-24,2021-02-25,AFTER_HOURS,0,2021
192,NVDA,0001045810-21-000007,2021-02-24,2021-02-24,2021-02-25,AFTER_HOURS,0,2021
193,MSFT,0001193125-21-065751,2021-03-02,2021-03-02,2021-03-03,AFTER_HOURS,1,2021
194,AVGO,0001730168-21-000026,2021-03-04,2021-03-04,2021-03-05,AFTER_HOURS,0,2021
195,GOOGL,0001193125-21-069770,2021-03-04,2021-03-04,2021-03-05,AFTER_HOURS,1,2021
196,AMD,0001193125-21-073262,2021-03-08,2021-03-08,2021-03-09,AFTER_HOURS,1,2021
197,TSLA,0001564590-21-012981,2021-03-15,2021-03-12,2021-03-15,PRE_MARKET,1,2021
198,AVGO,0001193125-21-081796,2021-03-15,2021-03-15,2021-03-16,AFTER_HOURS,1,2021
199,QCOM,0001628280-21-004741,2021-03-15,2021-03-15,2021-03-16,AFTER_HOURS,1,2021
200,INTC,0001193125-21-082782,2021-03-16,2021-03-16,2021-03-17,AFTER_HOURS,1,2021
201,MSFT,0001193125-21-084239,2021-03-17,2021-03-17,2021-03-18,AFTER_HOURS,1,2021
202,NVDA,0001045810-21-000034,2021-03-18,2021-03-18,2021-03-19,AFTER_HOURS,1,2021
203,ADBE,0000796343-21-000063,2021-03-23,2021-03-23,2021-03-24,AFTER_HOURS,0,2021
204,INTC,0001193125-21-091374,2021-03-23,2021-03-23,2021-03-24,AFTER_HOURS,0,2021
205,AVGO,0001193125-21-098755,2021-03-29,2021-03-29,2021-03-30,AFTER_HOURS,0,2021
206,AVGO,0001193125-21-102518,2021-03-31,2021-03-31,2021-04-01,AFTER_HOURS,1,2021
207,TSLA,0001564590-21-017443,2021-04-02,2021-04-01,2021-04-05,NON_TRADING_DAY,0,2021
208,AVGO,0001730168-21-000071,2021-04-05,2021-04-05,2021-04-06,AFTER_HOURS,1,2021
209,AMD,0000002488-21-000046,2021-04-08,2021-04-08,2021-04-09,AFTER_HOURS,0,2021
210,GOOGL,0001193125-21-111624,2021-04-09,2021-04-09,2021-04-12,AFTER_HOURS,0,2021
211,AMZN,0001104659-21-050346,2021-04-14,2021-04-14,2021-04-15,AFTER_HOURS,0,2021
212,NFLX,0001065280-21-000143,2021-04-20,2021-04-20,2021-04-21,AFTER_HOURS,0,2021
213,ADBE,0000796343-21-000106,2021-04-22,2021-04-22,2021-04-23,AFTER_HOURS,1,2021
214,INTC,0000050863-21-000017,2021-04-22,2021-04-22,2021-04-23,AFTER_HOURS,0,2021
215,TSLA,0001564590-21-020558,2021-04-26,2021-04-26,2021-04-27,AFTER_HOURS,0,2021
216,AMD,0000002488-21-000054,2021-04-27,2021-04-27,2021-04-28,AFTER_HOURS,0,2021
217,GOOGL,0001652044-21-000018,2021-04-27,2021-04-27,2021-04-28,AFTER_HOURS,0,2021
218,MSFT,0001193125-21-134213,2021-04-27,2021-04-27,2021-04-28,AFTER_HOURS,0,2021
219,AAPL,0000320193-21-000055,2021-04-28,2021-04-28,2021-04-29,AFTER_HOURS,0,2021
220,META,0001326801-21-000031,2021-04-28,2021-04-28,2021-04-29,AFTER_HOURS,1,2021
221,QCOM,0001728949-21-000042,2021-04-28,2021-04-28,2021-04-29,AFTER_HOURS,0,2021
222,AMZN,0001018724-21-000008,2021-04-29,2021-04-29,2021-04-30,AFTER_HOURS,0,2021
223,AMZN,0001193125-21-159084,2021-05-12,2021-05-12,2021-05-13,AFTER_HOURS,0,2021
224,AMD,0000002488-21-000068,2021-05-13,2021-05-13,2021-05-14,AFTER_HOURS,0,2021
225,INTC,0001193125-21-166587,2021-05-19,2021-05-19,2021-05-20,AFTER_HOURS,0,2021
226,MSFT,0001193125-21-167940,2021-05-20,2021-05-20,2021-05-21,AFTER_HOURS,1,2021
227,NVDA,0001045810-21-000056,2021-05-21,2021-05-20,2021-05-21,PRE_MARKET,0,2021
228,AMD,0001193125-21-169293,2021-05-21,2021-05-21,2021-05-24,AFTER_HOURS,0,2021
229,QCOM,0001728949-21-000048,2021-05-21,2021-05-21,2021-05-24,AFTER_HOURS,1,2021
230,NVDA,0001045810-21-000063,2021-05-26,2021-05-26,2021-05-27,AFTER_HOURS,0,2021
231,META,0001326801-21-000040,2021-05-27,2021-05-27,2021-05-28,AFTER_HOURS,0,2021
232,ADBE,0000796343-21-000128,2021-05-28,2021-05-28,2021-06-01,AFTER_HOURS,0,2021
233,AMZN,0001018724-21-000012,2021-05-28,2021-05-28,2021-06-01,AFTER_HOURS,0,2021
234,ADBE,0000796343-21-000134,2021-06-02,2021-06-02,2021-06-03,AFTER_HOURS,1,2021
235,AVGO,0001730168-21-000110,2021-06-03,2021-06-03,2021-06-04,AFTER_HOURS,0,2021
236,GOOGL,0001193125-21-182989,2021-06-04,2021-06-04,2021-06-07,AFTER_HOURS,1,2021
237,NFLX,0001065280-21-000216,2021-06-04,2021-06-04,2021-06-07,AFTER_HOURS,0,2021
238,NVDA,0001045810-21-000075,2021-06-04,2021-06-04,2021-06-07,AFTER_HOURS,0,2021
239,TSLA,0001564590-21-031976,2021-06-07,2021-06-07,2021-06-08,AFTER_HOURS,0,2021
240,MSFT,0001193125-21-192783,2021-06-17,2021-06-16,2021-06-17,PRE_MARKET,1,2021
241,NVDA,0001193125-21-192149,2021-06-16,2021-06-16,2021-06-17,AFTER_HOURS,1,2021
242,ADBE,0000796343-21-000146,2021-06-17,2021-06-17,2021-06-18,AFTER_HOURS,0,2021
243,NFLX,0001193125-21-193187,2021-06-17,2021-06-17,2021-06-18,AFTER_HOURS,1,2021
244,INTC,0001193125-21-196285,2021-06-22,2021-06-22,2021-06-23,AFTER_HOURS,0,2021
245,AMD,0000002488-21-000103,2021-06-24,2021-06-24,2021-06-25,AFTER_HOURS,0,2021
246,NVDA,0001045810-21-000117,2021-06-28,2021-06-28,2021-06-29,AFTER_HOURS,1,2021
247,AMD,0000002488-21-000107,2021-06-30,2021-06-30,2021-07-01,AFTER_HOURS,0,2021
248,TSLA,0000950170-21-000423,2021-07-02,2021-07-01,2021-07-02,PRE_MARKET,0,2021
249,AMZN,0001018724-21-000016,2021-07-02,2021-07-02,2021-07-06,AFTER_HOURS,1,2021
250,GOOGL,0001193125-21-210942,2021-07-08,2021-07-08,2021-07-09,AFTER_HOURS,0,2021
251,MSFT,0001193125-21-210827,2021-07-08,2021-07-08,2021-07-09,AFTER_HOURS,1,2021
252,INTC,0001193125-21-214206,2021-07-13,2021-07-13,2021-07-14,AFTER_HOURS,0,2021
253,INTC,0001193125-21-218615,2021-07-19,2021-07-19,2021-07-20,AFTER_HOURS,0,2021
254,NFLX,0001065280-21-000249,2021-07-20,2021-07-20,2021-07-21,AFTER_HOURS,0,2021
255,INTC,0000050863-21-000029,2021-07-22,2021-07-22,2021-07-23,AFTER_HOURS,0,2021
256,QCOM,0001728949-21-000055,2021-07-23,2021-07-23,2021-07-26,AFTER_HOURS,0,2021
257,INTC,0001193125-21-224438,2021-07-26,2021-07-26,2021-07-27,AFTER_HOURS,1,2021
258,TSLA,0001564590-21-037953,2021-07-26,2021-07-26,2021-07-27,AFTER_HOURS,0,2021
259,AAPL,0000320193-21-000063,2021-07-27,2021-07-27,2021-07-28,AFTER_HOURS,1,2021
260,AMD,0000002488-21-000114,2021-07-27,2021-07-27,2021-07-28,AFTER_HOURS,1,2021
261,GOOGL,0001652044-21-000041,2021-07-27,2021-07-27,2021-07-28,AFTER_HOURS,0,2021
262,MSFT,0001193125-21-225746,2021-07-27,2021-07-27,2021-07-28,AFTER_HOURS,0,2021
