Family,Model,Ticker,Event_Session,Test_Year,Filing_Count,Accessions,y_prob,Acceptance_DateTime_ET,Lead_Minutes,Feature_Cutoff_Session,Momentum_Score_60D,Publication_Period,Stock_Return_Open_Close,QQQ_Return_Open_Close,Market_Neutral_Return,Active,Signal,Strategy_Return_Gross,Transaction_Cost,Strategy_Return_Net,Win,Cost_Bps_Per_Side,Probability_Margin
Tree,TREE B - MARKET + SEC,MSFT,2023-10-13,2023,1,0001193125-23-255762,0.9,2023-10-13 12:37:32+00:00,52.46666666666667,2023-10-12,-0.026016814911115405,PRE_MARKET,-0.013989992864112955,-0.014275328386988417,0.0001426677614377314,True,1,0.0001426677614377314,0.001,-0.0008573322385622686,False,5.0,0.0
Tree,TREE B - MARKET + SEC,MSFT,2023-10-17,2023,1,0001104659-23-109428,0.9,2023-10-16 21:30:10+00:00,959.8333333333334,2023-10-16,-0.015192179055497856,AFTER_HOURS,0.007494163197146575,0.0065334864120403235,0.0004803383925531257,True,1,0.0004803383925531257,0.001,-0.0005196616074468743,False,5.0,0.0
Tree,TREE B - MARKET + SEC,MSFT,2023-10-25,2023,1,0000950170-23-054848,0.9,2023-10-24 20:03:29+00:00,1046.5166666666667,2023-10-24,0.048668377222000125,AFTER_HOURS,-0.01260789439583787,-0.01783015321415027,0.0026111294091561987,True,1,0.0026111294091561987,0.001,0.0016111294091561987,True,5.0,0.0
Tree,TREE B - MARKET + SEC,MSFT,2023-10-30,2023,1,0001193125-23-265616,0.9,2023-10-30 10:04:32+00:00,205.46666666666667,2023-10-27,0.08663601085693506,PRE_MARKET,0.011697291183970338,0.0039387795407368476,0.003879255821616745,True,1,0.003879255821616745,0.001,0.002879255821616745,True,5.0,0.0
Tree,TREE B - MARKET + SEC,MSFT,2023-11-07,2023,1,0001193125-23-271376,0.625,2023-11-06 21:14:08+00:00,1035.8666666666666,2023-11-06,0.10343331499779262,AFTER_HOURS,0.0031441427434690805,0.0065628413467495594,-0.0017093493016402395,True,1,-0.0017093493016402395,0.001,-0.0027093493016402395,False,5.0,0.0
Tree,TREE B - MARKET + SEC,MSFT,2023-12-11,2023,1,0001193125-23-291720,0.9,2023-12-08 21:31:05+00:00,3898.9166666666665,2023-12-08,0.06614475953161425,AFTER_HOURS,0.007652998052980697,0.00964925428480079,-0.0009981281159100464,True,1,-0.0009981281159100464,0.001,-0.0019981281159100464,False,5.0,0.0
Tree,TREE B - MARKET + SEC,MSFT,2024-01-22,2024,1,0001193125-24-011295,0.4298245614035088,2024-01-19 21:39:35+00:00,3890.4166666666665,2024-01-19,0.025865528038310437,AFTER_HOURS,-0.008774509635634531,-0.003967768029217167,-0.002403370803208682,True,-1,0.002403370803208682,0.001,0.001403370803208682,True,5.0,0.0
Tree,TREE B - MARKET + SEC,MSFT,2024-01-31,2024,1,0000950170-24-008809,0.1379310344827586,2024-01-30 21:03:17+00:00,1046.7166666666667,2024-01-30,-0.011404797865778304,AFTER_HOURS,-0.023048960781806738,-0.00921944832254118,-0.006914756229632779,True,-1,0.006914756229632779,0.001,0.005914756229632779,True,5.0,0.0
Tree,TREE B - MARKET + SEC,MSFT,2024-04-26,2024,1,0000950170-24-048268,0.0606060606060606,2024-04-25 20:03:19+00:00,1046.6833333333334,2024-04-25,-0.02088794886083012,AFTER_HOURS,-0.014193187065854485,0.007904225530628528,-0.011048706298241506,True,-1,0.011048706298241506,0.001,0.010048706298241505,True,5.0,0.0
Tree,TREE B - MARKET + SEC,MSFT,2024-07-31,2024,1,0000950170-24-087835,0.8085106382978723,2024-07-30 20:03:22+00:00,1046.6333333333334,2024-07-30,-0.00849546321114869,AFTER_HOURS,-0.005112946246098371,0.006839532862606079,-0.005976239554352225,True,1,-0.005976239554352225,0.001,-0.006976239554352225,False,5.0,0.0
Tree,TREE B - MARKET + SEC,MSFT,2024-08-22,2024,1,0001193125-24-204403,0.4298245614035088,2024-08-21 20:08:55+00:00,1041.0833333333333,2024-08-21,-0.06750082353645759,AFTER_HOURS,-0.0207606698621573,-0.02060471559655086,-7.797713280321972e-05,True,-1,7.797713280321972e-05,0.001,-0.0009220228671967803,False,5.0,0.0
Tree,TREE B - MARKET + SEC,MSFT,2024-10-31,2024,1,0000950170-24-118955,0.75,2024-10-30 20:04:07+00:00,1045.8833333333334,2024-10-30,-0.046598399861985884,AFTER_HOURS,-0.021691976997786133,-0.017324015383863967,-0.0021839808069610833,True,1,-0.0021839808069610833,0.001,-0.0031839808069610833,False,5.0,0.0
Tree,TREE B - MARKET + SEC,MSFT,2024-12-04,2024,1,0000950170-24-132722,0.4298245614035088,2024-12-03 21:00:37+00:00,1049.3833333333334,2024-12-03,-0.07399649929633245,AFTER_HOURS,0.010137899593129607,0.005650373616277848,0.002243762988425879,True,-1,-0.002243762988425879,0.001,-0.003243762988425879,False,5.0,0.0
Tree,TREE B - MARKET + SEC,MSFT,2024-12-12,2024,1,0001193125-24-275524,0.4298245614035088,2024-12-11 21:01:27+00:00,1048.55,2024-12-11,-0.08688104126042373,AFTER_HOURS,0.0010020089103095486,-0.0022361899108542804,0.0016190994105819145,True,-1,-0.0016190994105819145,0.001,-0.0026190994105819146,False,5.0,0.0
