Family,Model,Cost_Bps_Per_Side,Probability_Margin,Num_Candidate_Events,Num_Trades,Trade_Coverage,Active_Sessions,Mean_Trade_Return_Net,Median_Trade_Return_Net,Win_Rate,Avg_Win,Avg_Loss,Profit_Factor,Mean_Daily_Return_Net,Annualized_Return_Arithmetic,Annualized_Volatility,Sharpe,Sortino,HAC_t,HAC_p_value,HAC_p_value_Positive,Max_Drawdown,Cumulative_Return,CAGR,HAC_p_value_Holm,HAC_p_value_Positive_Holm,HAC_p_value_Positive_Global_Holm
TabNet,TABNET B - MARKET + SEC,0.0,0.0,494,494,1.0,370,0.0006411595083008458,0.0003421039923696412,0.5182186234817814,0.008470536629895624,0.007780355378792697,1.1710474659652168,0.0002099730166546607,0.05291320019697449,0.11261337129176296,0.4698660522282473,0.7068260229291214,0.8849837457196902,0.37640020337907487,0.18820010168953744,-0.1746553737686687,0.1825602598038354,0.0475284088528658,1.0,0.9556400537740242,1.0
TabNet,TABNET C - MARKET + SEC + FINBERT,0.0,0.0,494,494,1.0,370,0.0005794484809528922,0.0006929956440864249,0.5384615384615384,0.008094792306384718,0.008188452648717572,1.1533222163686678,0.0002813146200293439,0.07089128424739466,0.11175829106953436,0.6343268456323045,0.9358793059368408,1.2666100233400657,0.20562029492642006,0.10281014746321003,-0.16070006110979862,0.2619747098324037,0.06655283245506416,1.0,0.8224811797056802,1.0
Transformer,TRANSFORMER A - MARKET SEQUENCE,0.0,0.0,494,494,1.0,370,0.0012692950752474282,0.000533110380089824,0.5323886639676113,0.008835007080947092,0.0073444809312418,1.3695868040129642,0.0005052322323647414,0.12731852255591483,0.11250130706677457,1.1317070519042556,1.8293217684743988,2.1221933077973087,0.03409228427521706,0.01704614213760853,-0.1241096219744744,0.5456917366390508,0.12816036242564066,0.6477534012291241,0.32387670061456203,1.0
Transformer,TRANSFORMER B - MARKET SEQUENCE + SEC,0.0,0.0,494,494,1.0,370,0.00115896877259611,0.0004405643554573069,0.5263157894736842,0.008832139482823884,0.007366776460990306,1.3321278806564394,0.0004367960756839395,0.11007261107235276,0.11262310005590308,0.9773537668357174,1.5625060712959045,1.862349103186109,0.062877424781692,0.031438712390846,-0.10330629293979443,0.452630863816718,0.10892740676200319,0.9431613717253801,0.47158068586269003,1.0
Transformer,TRANSFORMER C - MARKET SEQUENCE + SEC + FINBERT,0.0,0.0,494,494,1.0,370,0.00042773360836234056,-8.158345432462966e-05,0.4959514170040486,0.008635678285585587,0.007648356535893465,1.1109514168328785,0.00023234017473228028,0.05854972403253463,0.11233629862896304,0.5212004022486022,0.8234731933734559,0.9529889948197104,0.3408498227092547,0.17042491135462734,-0.1583414281218961,0.20697586173469595,0.05347324123043795,1.0,0.9556400537740242,1.0
Tree,TREE A - MARKET,0.0,0.0,494,494,1.0,370,0.0005357344505035138,0.00028434567658394694,0.5121457489878543,0.008468052916906476,0.007791554229994203,1.1409403622038032,0.00020928563062820151,0.052739978918306785,0.11281627888417081,0.46748553878873506,0.680211538134792,0.8885672638649055,0.3744715365879234,0.1872357682939617,-0.20317815255241511,0.18166772065199477,0.04730941406548195,1.0,0.9556400537740242,1.0
Tree,TREE B - MARKET + SEC,0.0,0.0,494,494,1.0,370,0.0012391862308890353,0.0004683071365524927,0.52834008097166,0.008874214474071123,0.007313356135937249,1.3592451258332825,0.00047302627388484377,0.11920262101898063,0.11260943167007653,1.058549175243339,1.6497291221169454,2.11215254180509,0.034946516988372874,0.017473258494186437,-0.08679063081778438,0.5010940033479245,0.11905098155350657,0.6477534012291241,0.32387670061456203,1.0
Tree,TREE C - MARKET + SEC + FINBERT,0.0,0.0,494,494,1.0,370,0.00029815628336004387,-0.0004202861073105135,0.48380566801619435,0.008718558915033061,0.00759390735965898,1.0760615970321228,0.0001609289900586204,0.04055410549477234,0.11288891039239331,0.3592390550480941,0.5387509159611291,0.7123357377556915,0.47644029660839154,0.23822014830419577,-0.19955809759596355,0.13097997184657162,0.034671369162723176,1.0,0.9556400537740242,1.0
XGBoost,XGB A - MARKET,0.0,0.0,494,494,1.0,370,0.0005386055687417637,0.00039322760095444886,0.5182186234817814,0.008371588102274166,0.007886787408503173,1.141749226209022,0.00037203747439254687,0.0937534435469218,0.11158937725805135,0.8401645913850403,1.2988032101759155,1.663876092391497,0.09648300112867478,0.04824150056433739,-0.11199373491433628,0.3703284727121061,0.09116069788431735,1.0,0.5610891478743321,1.0
XGBoost,XGB B - MARKET + SEC,0.0,0.0,494,494,1.0,370,0.0006435470256702586,0.0006477670219131315,0.5344129554655871,0.008216087477437595,0.008048412449401812,1.1717390974440671,0.00039757906617256657,0.10018992467548678,0.11134707981396645,0.8997984037199671,1.3963785671168103,1.7802438612540885,0.07537112068782471,0.03768556034391236,-0.1373946120228452,0.40257129378921164,0.09821057879047768,1.0,0.527597844814773,1.0
