Test_Year,Model,Feature,Coefficient,Abs_Coefficient
2024,MODEL A - MARKET,numeric__Relative_Volume_20D,-0.08334525523662654,0.08334525523662654
2024,MODEL A - MARKET,numeric__RSI_14,0.16847110348552372,0.16847110348552372
2024,MODEL A - MARKET,numeric__Price_to_SMA20,0.019455137533519115,0.019455137533519115
2024,MODEL A - MARKET,numeric__Intraday_Return,0.3218580974782853,0.3218580974782853
2024,MODEL A - MARKET,numeric__Daily_Range,-0.17589407743861102,0.17589407743861102
2024,MODEL A - MARKET,numeric__QQQ_Log_Return_1D,-0.42881491964726753,0.42881491964726753
2024,MODEL A - MARKET,numeric__QQQ_Log_Return_3D,-0.03543570363978927,0.03543570363978927
2024,MODEL A - MARKET,numeric__QQQ_Log_Return_5D,0.06785412940000944,0.06785412940000944
2024,MODEL A - MARKET,numeric__QQQ_Volatility_14D,0.07065854966084499,0.07065854966084499
2024,MODEL A - MARKET,categorical__Ticker_ADBE,-0.10371938605477907,0.10371938605477907
2024,MODEL A - MARKET,categorical__Ticker_AMD,-0.5010520536773903,0.5010520536773903
2024,MODEL A - MARKET,categorical__Ticker_AMZN,-0.6274088219569324,0.6274088219569324
2024,MODEL A - MARKET,categorical__Ticker_AVGO,-0.3842870461835812,0.3842870461835812
2024,MODEL A - MARKET,categorical__Ticker_GOOGL,-0.4594611032807205,0.4594611032807205
2024,MODEL A - MARKET,categorical__Ticker_INTC,-0.8408558777060011,0.8408558777060011
2024,MODEL A - MARKET,categorical__Ticker_META,-0.735314247593362,0.735314247593362
2024,MODEL A - MARKET,categorical__Ticker_MSFT,0.46555719489490677,0.46555719489490677
2024,MODEL A - MARKET,categorical__Ticker_NFLX,-0.321768432539337,0.321768432539337
2024,MODEL A - MARKET,categorical__Ticker_NVDA,-0.20024414484513128,0.20024414484513128
2024,MODEL A - MARKET,categorical__Ticker_QCOM,0.05504899267862547,0.05504899267862547
2024,MODEL A - MARKET,categorical__Ticker_TSLA,-0.39725815296538003,0.39725815296538003
2024,MODEL B - MARKET + SEC,numeric__Stock_vs_QQQ_1D,-0.12645743816002314,0.12645743816002314
2024,MODEL B - MARKET + SEC,numeric__Stock_vs_QQQ_3D,-0.0069355860921360485,0.0069355860921360485
2024,MODEL B - MARKET + SEC,numeric__Stock_vs_QQQ_5D,-0.27036900935366254,0.27036900935366254
2024,MODEL B - MARKET + SEC,numeric__Volatility_14D,0.07749075919277698,0.07749075919277698
2024,MODEL B - MARKET + SEC,numeric__Relative_Volume_20D,0.011820738319526167,0.011820738319526167
2024,MODEL B - MARKET + SEC,numeric__RSI_14,0.1655823267215117,0.1655823267215117
2024,MODEL B - MARKET + SEC,numeric__Price_to_SMA20,0.027309049123583982,0.027309049123583982
2024,MODEL B - MARKET + SEC,numeric__Intraday_Return,0.33288806211937655,0.33288806211937655
2024,MODEL B - MARKET + SEC,numeric__Daily_Range,-0.23156349397985887,0.23156349397985887
2024,MODEL B - MARKET + SEC,numeric__QQQ_Log_Return_1D,-0.44617336948776054,0.44617336948776054
2024,MODEL B - MARKET + SEC,numeric__QQQ_Log_Return_3D,-0.002897840000907692,0.002897840000907692
2024,MODEL B - MARKET + SEC,numeric__QQQ_Log_Return_5D,0.044378885761826255,0.044378885761826255
2024,MODEL B - MARKET + SEC,numeric__QQQ_Volatility_14D,0.11432808066643145,0.11432808066643145
2024,MODEL B - MARKET + SEC,categorical__Ticker_ADBE,-0.04805553427144698,0.04805553427144698
2024,MODEL B - MARKET + SEC,categorical__Ticker_AMD,-0.7543596975580833,0.7543596975580833
2024,MODEL B - MARKET + SEC,categorical__Ticker_AMZN,-0.7769548206754765,0.7769548206754765
2024,MODEL B - MARKET + SEC,categorical__Ticker_AVGO,-0.3879763891996929,0.3879763891996929
2024,MODEL B - MARKET + SEC,categorical__Ticker_GOOGL,-0.4387434028457031,0.4387434028457031
2024,MODEL B - MARKET + SEC,categorical__Ticker_INTC,-1.0837080251721773,1.0837080251721773
2024,MODEL B - MARKET + SEC,categorical__Ticker_META,-0.7385477212920606,0.7385477212920606
2024,MODEL B - MARKET + SEC,categorical__Ticker_MSFT,0.4704172129952745,0.4704172129952745
2024,MODEL B - MARKET + SEC,categorical__Ticker_NFLX,-0.4476632602122893,0.4476632602122893
