Ticker,Filing_Date,Acceptance_DateTime_ET,Accession,Source_Type,Cleaned_File
NVDA,2022-11-16,2022-11-16T16:21:18-05:00,0001045810-22-000163,EX-99.1,NVDA_2022-11-16_0001045810-22-000163_EX-99-1.txt
NVDA,2022-11-16,2022-11-16T16:21:18-05:00,0001045810-22-000163,EX-99.2,NVDA_2022-11-16_0001045810-22-000163_EX-99-2.txt
NVDA,2023-02-22,2023-02-22T16:52:26-05:00,0001045810-23-000014,8-K,NVDA_2023-02-22_0001045810-23-000014_8-K.txt
NVDA,2023-02-22,2023-02-22T16:52:26-05:00,0001045810-23-000014,EX-99.1,NVDA_2023-02-22_0001045810-23-000014_EX-99-1.txt
NVDA,2023-02-22,2023-02-22T16:52:26-05:00,0001045810-23-000014,EX-99.2,NVDA_2023-02-22_0001045810-23-000014_EX-99-2.txt
NVDA,2023-03-08,2023-03-08T16:12:15-05:00,0001045810-23-000039,8-K,NVDA_2023-03-08_0001045810-23-000039_8-K.txt
NVDA,2023-05-24,2023-05-24T16:22:18-04:00,0001045810-23-000087,8-K,NVDA_2023-05-24_0001045810-23-000087_8-K.txt
NVDA,2023-05-24,2023-05-24T16:22:18-04:00,0001045810-23-000087,EX-99.1,NVDA_2023-05-24_0001045810-23-000087_EX-99-1.txt
NVDA,2023-05-24,2023-05-24T16:22:18-04:00,0001045810-23-000087,EX-99.2,NVDA_2023-05-24_0001045810-23-000087_EX-99-2.txt
NVDA,2023-06-27,2023-06-27T17:11:03-04:00,0001045810-23-000146,8-K,NVDA_2023-06-27_0001045810-23-000146_8-K.txt
NVDA,2023-07-24,2023-07-24T16:35:01-04:00,0001045810-23-000164,8-K,NVDA_2023-07-24_0001045810-23-000164_8-K.txt
NVDA,2023-08-23,2023-08-23T16:21:42-04:00,0001045810-23-000171,8-K,NVDA_2023-08-23_0001045810-23-000171_8-K.txt
NVDA,2023-08-23,2023-08-23T16:21:42-04:00,0001045810-23-000171,EX-99.1,NVDA_2023-08-23_0001045810-23-000171_EX-99-1.txt
NVDA,2023-08-23,2023-08-23T16:21:42-04:00,0001045810-23-000171,EX-99.2,NVDA_2023-08-23_0001045810-23-000171_EX-99-2.txt
NVDA,2023-10-17,2023-10-17T17:27:14-04:00,0001045810-23-000217,8-K,NVDA_2023-10-17_0001045810-23-000217_8-K.txt
NVDA,2023-10-24,2023-10-24T09:00:18-04:00,0001045810-23-000221,8-K,NVDA_2023-10-24_0001045810-23-000221_8-K.txt
NVDA,2023-11-21,2023-11-21T16:22:00-05:00,0001045810-23-000225,8-K,NVDA_2023-11-21_0001045810-23-000225_8-K.txt
NVDA,2023-11-21,2023-11-21T16:22:00-05:00,0001045810-23-000225,EX-99.1,NVDA_2023-11-21_0001045810-23-000225_EX-99-1.txt
NVDA,2023-11-21,2023-11-21T16:22:00-05:00,0001045810-23-000225,EX-99.2,NVDA_2023-11-21_0001045810-23-000225_EX-99-2.txt
NVDA,2024-02-21,2024-02-21T16:22:09-05:00,0001045810-24-000028,8-K,NVDA_2024-02-21_0001045810-24-000028_8-K.txt
NVDA,2024-02-21,2024-02-21T16:22:09-05:00,0001045810-24-000028,EX-99.1,NVDA_2024-02-21_0001045810-24-000028_EX-99-1.txt
NVDA,2024-02-21,2024-02-21T16:22:09-05:00,0001045810-24-000028,EX-99.2,NVDA_2024-02-21_0001045810-24-000028_EX-99-2.txt
NVDA,2024-03-14,2024-03-14T16:30:50-04:00,0001045810-24-000069,8-K,NVDA_2024-03-14_0001045810-24-000069_8-K.txt
