Family,Model,Test_Year,Cost_Bps_Per_Side,Probability_Margin,Num_Candidate_Events,Num_Trades,Trade_Coverage,Active_Sessions,Mean_Trade_Return_Net,Median_Trade_Return_Net,Win_Rate,Avg_Win,Avg_Loss,Profit_Factor,Mean_Daily_Return_Net,Annualized_Return_Arithmetic,Annualized_Volatility,Sharpe,Sortino,HAC_t,HAC_p_value,HAC_p_value_Positive,Max_Drawdown,Cumulative_Return,CAGR,HAC_p_value_Holm,HAC_p_value_Positive_Holm
Tree,TREE B - MARKET + SEC,2023,5.0,0.0,118,118,1.0,94,-0.0005239414109747625,-0.00037305473842197314,0.4745762711864407,0.006554583481897283,0.006917447765826932,0.8558458483254433,-5.7763286946596464e-05,-0.014556348310542309,0.09594257653810612,-0.1517193808607055,-0.215468835656921,-0.1390976232241759,0.8894854408314605,0.5552572795842697,-0.10224129530664439,-0.018814345518605946,-0.019086086311808526,1.0,1.0
Tree,TREE C - MARKET + SEC + FINBERT,2023,5.0,0.0,118,118,1.0,94,-0.0008035441600097333,-0.0005875186597191486,0.4576271186440678,0.0065288909776515655,0.006990286307411455,0.7880581023631109,-0.0001561911441828358,-0.03936016833407462,0.09606890316850332,-0.4097076893345761,-0.5746768047223645,-0.370980689049952,0.710967344174333,0.6445163279128334,-0.10224129530664439,-0.04267841848223042,-0.043287144001595834,1.0,1.0
XGBoost,XGB A - MARKET,2023,5.0,0.0,118,118,1.0,94,-0.0007774614930748365,-0.0010325900571615523,0.4576271186440678,0.006594623200396636,0.006997657953191391,0.7951536589176976,-7.09776904357371e-05,-0.01788637798980575,0.09405200295054633,-0.19017540752652148,-0.26899362129213017,-0.17194767038176884,0.8636183340183695,0.5681908329908152,-0.11845130122600511,-0.02187770968022862,-0.02219319294979627,1.0,1.0
XGBoost,XGB B - MARKET + SEC,2023,5.0,0.0,118,118,1.0,94,-0.0005592698974259979,-6.249448403824933e-05,0.4915254237288136,0.006252914007262552,0.007144381005291596,0.8460471993132589,-9.53091637056964e-05,-0.02401790925383549,0.09580393213790166,-0.2506985748691791,-0.3494915527037629,-0.23149787437899005,0.8171181596670591,0.5914409201664704,-0.10603503167237971,-0.027971181998936112,-0.028373253037285107,1.0,1.0
XGBoost,XGB C - MARKET + SEC + FINBERT,2023,5.0,0.0,118,118,1.0,94,-0.000262149942818028,1.5782501633283298e-05,0.5,0.006412666925540223,0.006936966811176279,0.9244194328865252,5.225876984627928e-05,0.01316921000126238,0.09584395809665655,0.1374026100631353,0.19645656752821844,0.1219856742581367,0.9030087540122314,0.4515043770061157,-0.10915918556456294,0.008557886456213248,0.008683229261116532,1.0,1.0
CatBoost,CAT A - MARKET,2024,5.0,0.0,122,122,1.0,88,-0.0004285351488089353,-0.00015166119986323359,0.4918032786885246,0.007467319731808506,0.008069685033277428,0.8955043995319745,-0.0003533381286163323,-0.08904120841131574,0.08896913652120077,-1.0008100774373347,-1.276922806240313,-1.0793349734151247,0.28147450405341506,0.8592627479732925,-0.1546947892297046,-0.0888202985367531,-0.0891113012030188,1.0,1.0
CatBoost,CAT B - MARKET + SEC,2024,5.0,0.0,122,122,1.0,88,-6.998010092719481e-05,-0.00015166119986323359,0.4918032786885246,0.007822907963416635,0.0077082588728728365,0.98213568310109,-0.00028711475231992916,-0.07235291758462215,0.08828250325548136,-0.8195612371257703,-1.054737607858788,-0.9110305023801115,0.3631533859889248,0.8184233070055376,-0.11387335076940153,-0.07342469950295405,-0.07366732088357131,1.0,1.0
CatBoost,CAT C - MARKET + SEC + FINBERT,2024,5.0,0.0,122,122,1.0,88,0.0002554378308824109,0.0003004298469115605,0.5081967213114754,0.00789511863474474,0.007638898999775329,1.0679928162609356,-0.0001938420937736177,-0.048848207630951664,0.08867044839875263,-0.5508961386016724,-0.7212668523427767,-0.6140614953304702,0.5397308443443729,0.7301345778278135,-0.09528993718206002,-0.051413963940380336,-0.05158588865359359,1.0,1.0
LSTM,LSTM A - MARKET SEQUENCE,2024,5.0,0.0,122,122,1.0,88,0.00026556286810205986,0.00010971885058930295,0.5,0.008029782111505044,0.007498656375300924,1.0708294539210441,-5.4617922924991296e-05,-0.013763716577097806,0.08849947501021246,-0.15552314378711887,-0.2184878655877716,-0.15181694479759256,0.8794532712974794,0.5602733643512603,-0.10364286075657869,-0.01751160435932886,-0.0175712089155583,1.0,1.0
LSTM,LSTM B - MARKET SEQUENCE + SEC,2024,5.0,0.0,122,122,1.0,88,0.00026556286810205986,0.00010971885058930295,0.5,0.008029782111505044,0.007498656375300924,1.0708294539210441,-5.4617922924991296e-05,-0.013763716577097806,0.08849947501021246,-0.15552314378711887,-0.2184878655877716,-0.15181694479759256,0.8794532712974794,0.5602733643512603,-0.10364286075657869,-0.01751160435932886,-0.0175712089155583,1.0,1.0
LSTM,LSTM C - MARKET SEQUENCE + SEC + FINBERT,2024,5.0,0.0,122,122,1.0,88,0.00026556286810205986,0.00010971885058930295,0.5,0.008029782111505044,0.007498656375300924,1.0708294539210441,-5.4617922924991296e-05,-0.013763716577097806,0.08849947501021246,-0.15552314378711887,-0.2184878655877716,-0.15181694479759256,0.8794532712974794,0.5602733643512603,-0.10364286075657869,-0.01751160435932886,-0.0175712089155583,1.0,1.0
Logistic,MODEL A - MARKET,2024,5.0,0.0,122,122,1.0,88,0.0012971625487609667,0.0013597331654406361,0.5491803278688525,0.00814898293418744,0.007049600466213102,1.4081568018894568,0.00025741916513000916,0.06486962961276231,0.0905171504823683,0.7166556753838398,1.0641889739374566,0.7009251259895544,0.48399901887539337,0.24199950943769669,-0.06448415710155653,0.06266814139539245,0.06288997776413341,1.0,1.0
Logistic,MODEL B - MARKET + SEC,2024,5.0,0.0,122,122,1.0,88,0.0008909383623469134,0.0004348617444080447,0.5081967213114754,0.008477416959335248,0.006948422854541031,1.2607173898349417,0.00013553419665384724,0.034154617556769504,0.09039743243144449,0.3778272970603634,0.5642918835881978,0.3723977477680205,0.7099109682182928,0.3549554841091464,-0.0638536859297345,0.030543631424266193,0.030650111548039094,1.0,1.0
Logistic,MODEL C - MARKET + SEC + FINBERT,2024,5.0,0.0,122,122,1.0,88,0.000969025354938902,0.000851831459892761,0.5163934426229508,0.008402589809950742,0.006968509571599162,1.2875431716815628,0.0001733382168769528,0.043681230652992106,0.09027520381377305,0.4838674276837,0.7249817003252854,0.47825997092927225,0.6328814727876392,0.3164407363938196,-0.0638536859297345,0.040418131651439815,0.0405597077556461,1.0,1.0
TabNet,TABNET A - MARKET,2024,5.0,0.0,122,122,1.0,88,0.00022504424363112388,0.00010971885058930295,0.5,0.0080089554181252,0.007558866930862953,1.0595444385221984,5.7912975075109065e-05,0.014594069718927485,0.0898999947511095,0.1623367138043951,0.22973219141697768,0.15330528680687353,0.8782807082064785,0.43914035410323926,-0.12133088781012402,0.010619970208499474,0.010656633522966086,1.0,1.0
TabNet,TABNET B - MARKET + SEC,2024,5.0,0.0,122,122,1.0,88,-0.0010914433920670913,-0.0010061057082928473,0.4426229508196721,0.007634315202726228,0.00802072227616767,0.7558601603384606,-0.0005008764022531105,-0.12622085336778385,0.08854009757652041,-1.4255784308199797,-1.7456415762418673,-1.428641993131949,0.15435037433669982,0.9228248128316501,-0.13103824673161024,-0.12206425399776055,-0.12245665019981855,1.0,1.0
TabNet,TABNET C - MARKET + SEC + FINBERT,2024,5.0,0.0,122,122,1.0,88,0.0004175747215363969,0.001119111831684145,0.5327868852459017,0.007617960138370853,0.007793391104678334,1.1146813254370778,2.8282558520338565e-05,0.007127204747125318,0.08855974701424917,0.08047905495911771,0.11316377810373737,0.07857886916605296,0.9374302030221644,0.4687151015110822,-0.09676606603406501,0.0032240266948644347,0.0032351161046864085,1.0,1.0
Transformer,TRANSFORMER A - MARKET SEQUENCE,2024,5.0,0.0,122,122,1.0,88,0.0005473895543363968,0.0007022392359980765,0.5081967213114754,0.008161421559066165,0.007320443517217697,1.1520434417030656,6.17883566550714e-05,0.015570665877077993,0.08795609769796871,0.17702770228103912,0.2577588318349709,0.17006881780218952,0.8650930132014877,0.43254650660074384,-0.0892807463760088,0.011787640088883,0.011828358088595836,1.0,1.0
Transformer,TRANSFORMER B - MARKET SEQUENCE + SEC,2024,5.0,0.0,122,122,1.0,88,0.00026556286810205986,0.00010971885058930295,0.5,0.008029782111505044,0.007498656375300924,1.0708294539210441,-5.4617922924991296e-05,-0.013763716577097806,0.08849947501021246,-0.15552314378711887,-0.2184878655877716,-0.15181694479759256,0.8794532712974794,0.5602733643512603,-0.10364286075657869,-0.01751160435932886,-0.0175712089155583,1.0,1.0
Transformer,TRANSFORMER C - MARKET SEQUENCE + SEC + FINBERT,2024,5.0,0.0,122,122,1.0,88,-0.001106163376519775,-0.0009295587923884288,0.4672131147540984,0.007196831316011912,0.008387251029970639,0.7524595888667012,-0.0004789697254732803,-0.12070037081926663,0.08830282915173032,-1.3668913213626235,-1.767198387092157,-1.3788848198935715,0.16915780856134616,0.915421095719327,-0.19456276841818032,-0.11716803626507888,-0.11754576748943002,1.0,1.0
Tree,TREE A - MARKET,2024,5.0,0.0,122,122,1.0,88,0.0013579037243890133,0.0013267519307335338,0.5245901639344263,0.00865603226655641,0.006695203632485356,1.4266158887227838,0.00038386302193184997,0.09673348152682619,0.08958856984582302,1.079752491788843,1.6972355707440627,1.1548183981459859,0.24926303517140075,0.12463151758570037,-0.061402324369071115,0.09715963934671357,0.09750905552464872,1.0,1.0
Tree,TREE B - MARKET + SEC,2024,5.0,0.0,122,122,1.0,88,0.0013579037243890133,0.0013267519307335338,0.5245901639344263,0.00865603226655641,0.006695203632485356,1.4266158887227838,0.00038386302193184997,0.09673348152682619,0.08958856984582302,1.079752491788843,1.6972355707440627,1.1548183981459859,0.24926303517140075,0.12463151758570037,-0.061402324369071115,0.09715963934671357,0.09750905552464872,1.0,1.0
Tree,TREE C - MARKET + SEC + FINBERT,2024,5.0,0.0,122,122,1.0,88,0.0013579037243890133,0.0013267519307335338,0.5245901639344263,0.00865603226655641,0.006695203632485356,1.4266158887227838,0.00038386302193184997,0.09673348152682619,0.08958856984582302,1.079752491788843,1.6972355707440627,1.1548183981459859,0.24926303517140075,0.12463151758570037,-0.061402324369071115,0.09715963934671357,0.09750905552464872,1.0,1.0
XGBoost,XGB A - MARKET,2024,5.0,0.0,122,122,1.0,88,0.0006030774756887636,0.001119111831684145,0.5409836065573771,0.007665738975251132,0.007720773577366884,1.17017042976134,9.481606586770979e-05,0.023893648598662866,0.08826632232390359,0.2706994918286312,0.3874872441827187,0.25284641248196743,0.8005938511338083,0.40029692556690416,-0.11506614452828212,0.020212562105978105,0.02028267259658767,1.0,1.0
XGBoost,XGB B - MARKET + SEC,2024,5.0,0.0,122,122,1.0,88,0.0006215075606039798,0.001119111831684145,0.5327868852459017,0.007824456314242435,0.007592381368983732,1.175207775778373,0.000266223613151112,0.06708835051408023,0.08784585910663151,0.7637053265384449,1.2472573419625468,0.7412803520036695,0.45921644231067404,0.22960822115533702,-0.10589874355771489,0.06529917608809699,0.0655306099454267,1.0,1.0
XGBoost,XGB C - MARKET + SEC + FINBERT,2024,5.0,0.0,122,122,1.0,88,-0.0005874312424579689,-0.0009295587923884288,0.47540983606557374,0.007616226869327273,0.008021996406263344,0.86040995916413,-0.00028303985036963583,-0.07132604229314823,0.08886913150760682,-0.8025963693258669,-1.0898997400950816,-0.7648181704887477,0.4450982948080896,0.7774508525959551,-0.17457177048819905,-0.07251021493560927,-0.07274993463956925,1.0,1.0
CatBoost,CAT A - MARKET,2025,5.0,0.0,150,150,1.0,112,0.000273742846945027,-0.0002657684121469819,0.47333333333333333,0.009327285109437644,0.007862985009219224,1.0661027457960677,0.0002031077061118329,0.05118314194018189,0.13668410959071434,0.37446300154015155,0.5584178617703933,0.44547015793933736,0.6563670710780698,0.3281835355390349,-0.15612135451788556,0.04242868613279849,0.042697210275500996,1.0,1.0
CatBoost,CAT B - MARKET + SEC,2025,5.0,0.0,150,150,1.0,112,0.0013350085403715027,0.00042031707014733664,0.5266666666666666,0.009307584042752929,0.007535885328475436,1.3742679798473325,0.000707306075742462,0.17824113108710044,0.13545239565238862,1.3158950067189694,2.234087897992599,1.2163759701767325,0.22499351697426595,0.11249675848713298,-0.10577815631936105,0.18264711590421334,0.18387747812401178,1.0,1.0
CatBoost,CAT C - MARKET + SEC + FINBERT,2025,5.0,0.0,150,150,1.0,112,0.00043793932656835703,-2.863868764218201e-06,0.5,0.008932096096465196,0.00805621744332848,1.1087208307494292,7.638432045116045e-05,0.019248848753692434,0.13686934612011636,0.14063666773712552,0.1897940539171172,0.12373377190229051,0.9016258919523698,0.4508129459761849,-0.14897938514439057,0.009830888218979483,0.009892123880231418,1.0,1.0
LSTM,LSTM A - MARKET SEQUENCE,2025,5.0,0.0,150,150,1.0,112,0.0016799395489055576,-0.00018045753215722906,0.4866666666666667,0.010482706378447844,0.006665540692089076,1.4909743503237545,0.0008496097451693329,0.2141016557826719,0.1346419578662286,1.5901555441981114,2.762156019219368,1.51347113715766,0.13142825538341865,0.06571412769170933,-0.11629809356961929,0.22558105150850993,0.22712728419071904,1.0,1.0
