Family,Model,Portfolio_Type,Portfolio_Definition,Cost_Bps_Per_Side,Probability_Margin,Num_Candidate_Events,Num_Trades,Trade_Coverage,Active_Sessions,Mean_Trade_Return_Net,Median_Trade_Return_Net,Win_Rate,Avg_Win,Avg_Loss,Profit_Factor,Mean_Daily_Return_Net,Annualized_Return_Arithmetic,Annualized_Volatility,Sharpe,Sortino,HAC_t,HAC_p_value,HAC_p_value_Positive,Max_Drawdown,Cumulative_Return,CAGR,HAC_p_value_Holm,HAC_p_value_Positive_Holm,HAC_p_value_Positive_Global_Holm
Transformer,TRANSFORMER C - MARKET SEQUENCE + SEC + FINBERT,Growth,fixed_ex_ante_growth_companies,0.0,0.05,297,130,0.4377104377104377,117,0.0007759984069409395,-0.0007609283299725433,0.46923076923076923,0.011539525868565848,0.008739583841741951,1.1672878263503468,5.8917009416132864e-05,0.014847086372865482,0.08007097726117601,0.18542406850408685,0.2844678496450763,0.35686098114837983,0.7212789792386689,0.36063948961933445,-0.08532720740922473,0.04284679920716772,0.011685489493329593,1.0,1.0,1.0
Transformer,TRANSFORMER C - MARKET SEQUENCE + SEC + FINBERT,Momentum,positive_relative_momentum_60d,0.0,0.05,251,92,0.3665338645418327,82,0.0008818947614304328,0.0004232239264371773,0.5217391304347826,0.010518151207734772,0.0096303849981743,1.1914733184861839,0.0001127521361435954,0.02841353830818604,0.06817339959614191,0.4167833565071916,0.6927698492442168,0.7394416971622134,0.45983036958737783,0.22991518479368891,-0.07745364323761594,0.09852372169348866,0.02636236447313145,1.0,1.0,1.0
Transformer,TRANSFORMER C - MARKET SEQUENCE + SEC + FINBERT,Value,fixed_ex_ante_mature_semiconductor_proxy,0.0,0.05,95,43,0.45263157894736844,43,0.0014452308309009993,0.00043224925585805263,0.5348837209302325,0.011608837591333646,0.010242916943596544,1.3033556069572225,6.851700741868023e-05,0.01726628586950742,0.04730668071031925,0.36498620512474544,0.6162932501362782,0.696167994731925,0.4865021782044408,0.2432510891022204,-0.044493614714784635,0.05987020822214051,0.016231915835253075,1.0,1.0,1.0
Tree,TREE A - MARKET,Dividend,fixed_ex_ante_dividend_payers,0.0,0.05,231,171,0.7402597402597403,158,0.001069291981620913,0.0002631283211503299,0.52046783625731,0.008492932944165347,0.006988074428945607,1.319095769333352,0.0001975917149708016,0.049793112172642005,0.06626153615990622,0.7514632931611841,1.2116307568110147,1.4137587533314522,0.15777625345354948,0.07888812672677474,-0.09151368421818162,0.1868787992145844,0.04858632749049607,1.0,1.0,1.0
Tree,TREE A - MARKET,Growth,fixed_ex_ante_growth_companies,0.0,0.05,297,229,0.7710437710437711,199,-0.0003447437748093633,-0.00044887945505656113,0.4847161572052402,0.00809188810603877,0.008280897493234301,0.9192072298600634,-5.943091905364968e-05,-0.014976591601519719,0.07925857634757949,-0.1889586249422596,-0.24812325405326957,-0.34306572793439577,0.7316285980374753,0.6341857009812624,-0.19819537906503648,-0.0631702257859924,-0.017907402442561504,1.0,1.0,1.0
Tree,TREE A - MARKET,Momentum,positive_relative_momentum_60d,0.0,0.05,251,194,0.7729083665338645,174,0.0007853876630299029,0.00047852320261945747,0.5103092783505154,0.008766106140520384,0.007531361066144386,1.21295543610336,0.0002148741137913608,0.05414827667542292,0.07810308792472259,0.6932923923265644,1.0652909120379275,1.2051373728559365,0.22846495336241524,0.11423247668120762,-0.07841028269683903,0.20191429090832202,0.05224801799865331,1.0,1.0,1.0
Tree,TREE A - MARKET,Value,fixed_ex_ante_mature_semiconductor_proxy,0.0,0.05,95,70,0.7368421052631579,70,0.0008097507928909611,-0.0007824843517410529,0.4714285714285714,0.011289749239249115,0.008537274848455501,1.1794437905206474,6.249454851418664e-05,0.015748626225575033,0.05645771449142011,0.2789455146642246,0.43242243309575423,0.51291645300332,0.6081347977065575,0.30406739885327877,-0.10906524430598619,0.052286337879420275,0.014213069912040854,1.0,1.0,1.0
Tree,TREE B - MARKET + SEC,Dividend,fixed_ex_ante_dividend_payers,0.0,0.05,231,171,0.7402597402597403,158,0.0017324946894498037,0.0008167337437686162,0.543859649122807,0.008737364124194473,0.006619465021207302,1.5737867671170649,0.0003194095973040057,0.08049121852060945,0.0661595516472833,1.2166227931793225,2.2871671026651335,2.2875076578680824,0.022395925835954022,0.011197962917977011,-0.05002788992383567,0.3255749247204627,0.08117376558836287,1.0,0.9182329592741149,1.0
Tree,TREE B - MARKET + SEC,Growth,fixed_ex_ante_growth_companies,0.0,0.05,297,229,0.7710437710437711,199,0.0007111852747034421,0.00020664813144066763,0.5065502183406113,0.008785374620168275,0.007577363079933021,1.1902048983525482,0.00011996673430701505,0.03023161704536779,0.07923828689312994,0.3815278980745976,0.531940496785417,0.7594745536105818,0.4477662883706244,0.2238831441853122,-0.07773892163716334,0.10239185677837925,0.02736187234354115,1.0,1.0,1.0
Tree,TREE B - MARKET + SEC,Momentum,positive_relative_momentum_60d,0.0,0.05,251,194,0.7729083665338645,174,0.0016617408403293598,0.0009190876673202675,0.5412371134020618,0.009074769201043479,0.007083966776243476,1.5113267356302984,0.00037119950406762576,0.09354227502504169,0.07792880296108046,1.2003555998641349,2.0273613574069955,2.104698854846737,0.03559242898163208,0.01779621449081604,-0.07841028269683903,0.3850588770351222,0.09439621257738051,1.0,1.0,1.0
Tree,TREE B - MARKET + SEC,Value,fixed_ex_ante_mature_semiconductor_proxy,0.0,0.05,95,70,0.7368421052631579,70,0.0024394838804700225,0.0013922851002207692,0.5142857142857142,0.011933399526680221,0.007612897391987835,1.6597313157035685,0.0001882732873571131,0.0474448684139925,0.05638720027160043,0.841412025875813,1.6061971060065638,1.6008851056057527,0.10975097271197388,0.05487548635598694,-0.05257088862753234,0.17948904891941253,0.04677434903562783,1.0,1.0,1.0
Tree,TREE C - MARKET + SEC + FINBERT,Dividend,fixed_ex_ante_dividend_payers,0.0,0.05,231,176,0.7619047619047619,162,0.00032369822446369994,-0.00045917281945995203,0.4772727272727273,0.008558559979226943,0.00719508859510274,1.0860654832876397,0.00010975165234480137,0.027657416390889946,0.06711715142429993,0.4120767315651676,0.6785534853803843,0.7713387802946896,0.44070727161571843,0.22035363580785922,-0.10855478911034622,0.09579916805759026,0.02565682408252945,1.0,1.0,1.0
Tree,TREE C - MARKET + SEC + FINBERT,Growth,fixed_ex_ante_growth_companies,0.0,0.05,297,242,0.8148148148148148,208,-0.00019109098902418882,-0.0010902639711394269,0.4669421487603306,0.008429202173423588,0.007742200503416428,0.9536978188630991,-6.268247879164315e-05,-0.015795984655494075,0.07970265717575185,-0.1981864245838435,-0.26632025835215545,-0.3876734422723263,0.6983487706430478,0.6508256146784761,-0.17934562853120806,-0.06603550177165796,-0.018740094555838693,1.0,1.0,1.0
Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,0.0,0.05,251,199,0.7928286852589641,178,-0.00028332939045075097,-0.0006547813003374703,0.4723618090452261,0.008350933832749584,0.008013050752172955,0.9329872390815401,-2.0765201213170324e-05,-0.005232830705718922,0.07869859505945802,-0.06649204730739394,-0.09517475344180447,-0.12386639907538344,0.9014485319179892,0.5492757340410054,-0.18090702154092364,-0.029522713072033024,-0.008264032846065361,1.0,1.0,1.0
Tree,TREE C - MARKET + SEC + FINBERT,Value,fixed_ex_ante_mature_semiconductor_proxy,0.0,0.05,95,71,0.7473684210526316,71,-0.0002307049011174985,-0.0009666412758597698,0.4507042253521127,0.010513308947130186,0.009046306007372008,0.9535720735184857,-1.805958983389459e-05,-0.004551016638141437,0.05646725186369988,-0.08059568135397555,-0.11987646899461,-0.14780931184013885,0.8825261480722905,0.5587369259638548,-0.12758474416516163,-0.02185370385999319,-0.006100027000596753,1.0,1.0,1.0
XGBoost,XGB A - MARKET,Dividend,fixed_ex_ante_dividend_payers,0.0,0.05,231,188,0.8138528138528138,175,0.001428900650778682,0.0008038300256842656,0.5372340425531915,0.00893005565131064,0.007279336763631981,1.4241786631910467,0.00029640671319247115,0.07469449172450274,0.0737428538089093,1.0129048154016311,1.786553419250573,1.8123927135811786,0.07025644479306473,0.03512822239653236,-0.08918477244723422,0.29575053490686387,0.074382157002854,1.0,1.0,1.0
XGBoost,XGB A - MARKET,Growth,fixed_ex_ante_growth_companies,0.0,0.05,297,242,0.8148148148148148,213,-7.76138922336809e-05,0.00012148933178232624,0.5041322314049587,0.008061346718372175,0.008352223846349633,0.9812599192481735,3.942638614813684e-05,0.009935449309330484,0.08659089503242778,0.11474011563929114,0.16065700791837692,0.2284001805256984,0.8193866889142228,0.4096933444571114,-0.12418034910810927,0.022518275343054617,0.00618551350948926,1.0,1.0,1.0
XGBoost,XGB A - MARKET,Momentum,positive_relative_momentum_60d,0.0,0.05,251,205,0.8167330677290837,189,0.0007685011510118575,0.0007047828075209539,0.5219512195121951,0.008846952821535815,0.00805184914231532,1.1996533851948037,0.0002113314060448097,0.05325551432329204,0.08636400734054439,0.6166401486362103,0.9512916259803241,1.2194156079306253,0.22300384996006686,0.11150192498003343,-0.08426681603000852,0.19517554550753458,0.050611007810980047,1.0,1.0,1.0
XGBoost,XGB A - MARKET,Value,fixed_ex_ante_mature_semiconductor_proxy,0.0,0.05,95,78,0.8210526315789474,78,0.0023717594067134127,0.0018270809590276438,0.5512820512820513,0.010922684087451943,0.00813366234390821,1.649846898698194,0.00020396607907788994,0.051399451927628265,0.05988423195934093,0.858313620228552,1.5273253275795724,1.4869422294417067,0.13737798629016665,0.06868899314508332,-0.10508052117308553,0.19551082658279673,0.050692613544983445,1.0,1.0,1.0
