Variant,Test_Year,Feature,Mean_Abs_SHAP,Mean_SHAP,Std_SHAP,Positive_Share,Negative_Share,Rank
C,2023,Mean_Net_Sentiment,0.060554271851214564,0.003190735357434245,0.07939875494693142,0.576271186440678,0.423728813559322,15
C,2023,QQQ_Log_Return_3D,0.04964403484331943,0.02782920069575002,0.06081647223155515,0.6864406779661016,0.3135593220338983,16
C,2023,Has_Item_5_03,0.04102271647633568,0.00807524585137855,0.1049180943612869,0.0847457627118644,0.9152542372881356,17
C,2023,Has_Item_1_01,0.024759656597912343,-0.003820758412493263,0.04688541972858506,0.059322033898305086,0.940677966101695,18
C,2023,Has_Event_Earnings,0.0161981887566538,0.003066059080340944,0.017441711786187333,0.652542372881356,0.3474576271186441,19
C,2023,Has_Item_2_02,0.016166035566318654,-0.0030268002172307413,0.016410647732378502,0.5,0.5,20
C,2023,Has_Item_5_07,0.013651394800503373,-0.0021942139649769087,0.036470876933841385,0.7796610169491526,0.22033898305084745,21
C,2023,Has_Item_8_01,0.01357228409973173,-0.00035421044782842515,0.021278596748868686,0.6016949152542372,0.3983050847457627,22
C,2023,Has_EX99,0.010073709958270054,-0.0007721757814134887,0.01136548096558461,0.5,0.5,23
C,2023,Has_Event_Buyback,0.009519348554164343,-0.0015271479257493966,0.023622740436003542,0.6016949152542372,0.3983050847457627,24
C,2023,Has_Item_5_02,0.00657761088471627,-0.0006985272372056537,0.007679166273190552,0.423728813559322,0.576271186440678,25
C,2023,Has_Item_7_01,0.005776098565974953,-0.002829867594395487,0.007088806190490218,0.4406779661016949,0.559322033898305,26
C,2023,Has_Item_1_02,0.002512038661756459,-0.0005392964723350337,0.009719758718208545,0.9745762711864406,0.025423728813559324,27
C,2023,Has_Sentiment_History,0.0019412471303740077,3.335063255655705e-06,0.0021428601663148416,0.3898305084745763,0.6101694915254238,28
C,2023,Has_Item_2_03,0.0,0.0,0.0,0.0,0.0,29
C,2023,Has_Event_Guidance,0.0,0.0,0.0,0.0,0.0,30
A,2024,Relative_Volume_20D,0.18079845228305794,-0.03469678199733385,0.21908513262700585,0.6311475409836066,0.36885245901639346,1
A,2024,QQQ_Log_Return_1D,0.15600692359594864,-0.02717158374298302,0.17941080956293032,0.36065573770491804,0.639344262295082,2
A,2024,Daily_Range,0.13217725701380864,0.018023851550876612,0.15103167923133656,0.6639344262295082,0.3360655737704918,3
A,2024,RSI_14,0.12312946234639068,-0.024061101946795203,0.1628348018259859,0.38524590163934425,0.6147540983606558,4
A,2024,Ticker,0.12051945766243659,-0.003552052327748289,0.17458959422704085,0.2459016393442623,0.7540983606557377,5
A,2024,Volatility_14D,0.11499666462454929,0.004748832656103972,0.12548842229574156,0.4262295081967213,0.5737704918032787,6
A,2024,Stock_vs_QQQ_5D,0.10642172830090318,-0.00609298378281354,0.1358685647887866,0.3770491803278688,0.6229508196721312,7
A,2024,Price_to_SMA20,0.09857268268380512,-0.020976412325777075,0.12705309291864694,0.4918032786885246,0.5081967213114754,8
A,2024,Stock_vs_QQQ_1D,0.09284279516603668,0.015716998686417218,0.10831685055227983,0.6639344262295082,0.3360655737704918,9
A,2024,QQQ_Volatility_14D,0.08424702974275368,-0.07320944395956894,0.08313056944590412,0.16393442622950818,0.8360655737704918,10
A,2024,QQQ_Log_Return_3D,0.06259399309490199,-0.016367245037259445,0.07374089085940834,0.32786885245901637,0.6721311475409836,11
A,2024,Intraday_Return,0.051220939828263305,-0.022815170618259748,0.06367173981035025,0.4672131147540984,0.5327868852459017,12
A,2024,QQQ_Log_Return_5D,0.03677461102529093,-0.00487203473376804,0.046826818635228175,0.3442622950819672,0.6557377049180327,13
A,2024,Stock_vs_QQQ_3D,0.022600123579365215,0.006413818022793334,0.0425548945284314,0.5901639344262295,0.4098360655737705,14
B,2024,Daily_Range,0.1850116000573822,0.022182197365264646,0.20179337707405312,0.680327868852459,0.319672131147541,1
B,2024,QQQ_Log_Return_1D,0.1816569667235858,-0.006997241126795285,0.22116501511402675,0.38524590163934425,0.6147540983606558,2
B,2024,Ticker,0.17318672411731179,-0.02787628374051663,0.22791511667955267,0.18032786885245902,0.819672131147541,3
B,2024,Price_to_SMA20,0.1603922030545377,-0.021781445144134284,0.20090198883908333,0.5655737704918032,0.4344262295081967,4
B,2024,RSI_14,0.1484960198332334,-0.04487405813706244,0.1937985773270851,0.3524590163934426,0.6475409836065574,5
B,2024,Volatility_14D,0.14806427303220066,-0.013430050133649112,0.1632324864302483,0.4672131147540984,0.5327868852459017,6
B,2024,Stock_vs_QQQ_1D,0.14059663470199132,0.020483189700518302,0.16846147407788667,0.639344262295082,0.36065573770491804,7
