Variant,Feature,Mean_Abs_SHAP,Std_Abs_SHAP_Across_Folds,Mean_SHAP,Mean_Positive_Share,Mean_Negative_Share,N_Folds,Presence_Rate
B,QQQ_Volatility_14D,0.08943359499011426,0.036500813387576055,-0.053284535620303754,0.2888812686572481,0.7111187313427519,4,1.0
B,QQQ_Log_Return_3D,0.08651601243988925,0.04782286254224377,-0.004643432887674872,0.42973990282200897,0.5702600971779911,4,1.0
B,Intraday_Return,0.08470360711743696,0.004504666776478086,-0.0030656859124945156,0.5254334804539722,0.47456651954602774,4,1.0
B,QQQ_Log_Return_5D,0.07003335220421496,0.009741055527316708,0.006250042135405698,0.4779522089469297,0.5220477910530703,4,1.0
B,Stock_vs_QQQ_3D,0.06207382804559981,0.009876673001387237,-0.0038184616386326264,0.42976101801782546,0.5702389819821745,4,1.0
B,Has_EX99,0.04982675397481846,0.021311314709504276,0.008162932667439851,0.49768441732390056,0.5023155826760994,4,1.0
B,Has_Item_1_01,0.04405491170641524,0.021463999972977058,-0.0018179168436939519,0.13914114319504706,0.8608588568049529,4,1.0
B,Has_Event_Earnings,0.02983502224132031,0.014749764684111917,0.0012431714885414728,0.5419616471099522,0.4580383528900478,4,1.0
B,Has_Event_Guidance,0.019446602183361743,0.0041828975251861755,-0.0005891357426121895,0.43583978099329584,0.5641602190067041,4,1.0
B,Has_Item_7_01,0.018905405623597635,0.01454686967067257,-0.0021055983637232266,0.2359711832346592,0.7640288167653408,4,1.0
B,Has_Item_5_03,0.018274141285392655,0.011830745575303035,0.0001668128635934586,0.07542949964733793,0.9245705003526621,4,1.0
B,Has_Item_2_02,0.016203846221840644,0.014982380137801263,-0.00019556178269738186,0.4238316733280612,0.3261683266719388,4,1.0
B,Has_Item_8_01,0.015258512604400731,0.006061201496244699,0.002604296511710758,0.5614560312337473,0.43854396876625273,4,1.0
B,Has_Item_5_02,0.011445021191056795,0.003283326707953959,-2.0585419426724194e-05,0.40603077956127415,0.5939692204387258,4,1.0
B,Has_Item_5_07,0.0100138851870718,0.012909407252363869,-0.0009707407086008623,0.4623960359359081,0.2876039640640919,4,1.0
B,Has_Event_Buyback,0.004829442663571888,0.004063475106824008,0.0004861152623997423,0.3279910908300739,0.42200890916992617,4,1.0
B,Has_Item_2_03,0.0019579861499448565,0.0018415667098455445,-0.00012705886706856957,0.2784881484172954,0.4715118515827046,4,1.0
B,Has_Item_1_02,0.001172734547474701,0.0017249641440742027,-0.00017140721658632542,0.44531073446327685,0.05468926553672316,4,1.0
B,Has_Item_2_01,8.547453568895476e-05,0.0001480462385666289,-4.148726042668975e-05,0.006666666666666667,0.32666666666666666,3,0.75
C,QQQ_Log_Return_1D,0.1731672643282412,0.05008392443818177,-0.018176145577802914,0.3264165081468499,0.67358349185315,4,1.0
C,Relative_Volume_20D,0.1493048779257022,0.025822080802805247,-0.011355031257086801,0.6365104088742599,0.3634895911257401,4,1.0
C,Stock_vs_QQQ_5D,0.14370815940559095,0.02607442652335327,0.015237994921126072,0.43514563340244083,0.5648543665975592,4,1.0
C,RSI_14,0.143522870817588,0.0265568574159351,0.010315463916826247,0.40465685803036455,0.5953431419696354,4,1.0
C,Stock_vs_QQQ_1D,0.13649969212458662,0.018647706053632696,0.001969961728777926,0.6060804194184994,0.39391958058150056,4,1.0
C,Daily_Range,0.13049510081209206,0.03630675439263222,-0.0016222846988464038,0.6148429139860787,0.38515708601392123,4,1.0
C,Price_to_SMA20,0.10720120590763449,0.029151981143766145,-0.018018141126101464,0.4308278474790006,0.5691721525209994,4,1.0
C,Volatility_14D,0.09523926327793676,0.01642798160350144,0.006050004728152179,0.47383113008599254,0.5261688699140075,4,1.0
C,QQQ_Volatility_14D,0.09498924130517822,0.03145447975113158,-0.05769116711288337,0.31291448479278433,0.6870855152072157,4,1.0
C,Ticker,0.09051972838349868,0.04557626147499034,1.6975369033154098e-05,0.3906511958449997,0.6093488041550004,4,1.0
C,Intraday_Return,0.08647392025819771,0.024314140985590506,-0.003493586301141089,0.5179690049230199,0.4820309950769801,4,1.0
C,Sentiment_Momentum_3,0.08569416685783057,0.011850140367580511,-0.013110523760854496,0.471800963230527,0.528199036769473,4,1.0
C,QQQ_Log_Return_3D,0.08301868263569573,0.03849707393046871,-0.0008637092225707555,0.4621587193023703,0.5378412806976297,4,1.0
C,QQQ_Log_Return_5D,0.08073802920176154,0.017472566907399605,-0.003507873778347494,0.4832714660767592,0.5167285339232408,4,1.0
C,Mean_Net_Sentiment,0.0646468121232707,0.014821743724165273,0.0012988151393826014,0.538602264874146,0.4613977351258541,4,1.0
C,Stock_vs_QQQ_3D,0.0595591082471847,0.011852630799007464,0.00505291844639972,0.44311624133484373,0.5568837586651563,4,1.0
C,Has_Item_1_01,0.03670058412331073,0.016400998499427364,-0.0037584823687429403,0.09561707846196593,0.9043829215380341,4,1.0
C,Has_EX99,0.025820635916415452,0.014019305474707446,0.00751990877835418,0.5480322614543927,0.4519677385456074,4,1.0
C,Has_Item_5_03,0.01831673599515374,0.015998751072002545,-0.0010600067483811798,0.08271439359936164,0.9172856064006384,4,1.0
C,Has_Item_7_01,0.016233341674264035,0.009749720641840277,-0.0016567530738686572,0.2765829005207999,0.7234170994792001,4,1.0
C,Has_Event_Earnings,0.014118419669635864,0.015438011822939364,0.0009250694167282087,0.3766291829639287,0.3733708170360713,4,1.0
C,Has_Item_2_02,0.012819151534241456,0.016701000843227874,-0.002178589169095382,0.2692307692307692,0.23076923076923078,4,1.0
C,Has_Event_Guidance,0.012223713285842566,0.009888511151622774,-0.001740780609231423,0.2194971626733922,0.5305028373266079,4,1.0
C,Has_Item_5_02,0.010535913593668804,0.002790331164144054,0.0006472130769438145,0.4700326657689814,0.5299673342310186,4,1.0
