Variant,Test_Year,Feature,Baseline_BA,Mean_BA_Drop,Std_BA_Drop,Baseline_AUC,Mean_AUC_Drop,Std_AUC_Drop,N_Repeats,Rank_AUC
C,2023,Has_Item_5_07,0.5558441558441558,0.0,0.0,0.597979797979798,0.0,0.0,100,24
C,2023,Has_Item_5_03,0.5558441558441558,0.0,0.0,0.597979797979798,0.0,0.0,100,25
C,2023,Has_Item_5_02,0.5558441558441558,0.0,0.0,0.597979797979798,0.0,0.0,100,26
C,2023,Has_Sentiment_History,0.5558441558441558,0.0,0.0,0.597979797979798,0.0,0.0,100,27
C,2023,Intraday_Return,0.5558441558441558,-0.0018715728715728952,0.018719414438597592,0.597979797979798,-0.002513708513708538,0.012249308393687089,100,28
C,2023,RSI_14,0.5558441558441558,0.00966522366522364,0.021306391296555774,0.597979797979798,-0.002707070707070749,0.02007304099776029,100,29
C,2023,Stock_vs_QQQ_3D,0.5558441558441558,0.01349783549783547,0.026159757061543002,0.597979797979798,-0.02549494949494953,0.016169486203511323,100,30
A,2024,Daily_Range,0.5505952380952381,0.054880952380952405,0.022801161101551334,0.5135281385281385,0.006068722943722909,0.022695993166036002,100,1
A,2024,Relative_Volume_20D,0.5505952380952381,0.015273268398268433,0.017649237140763323,0.5135281385281385,0.005462662337662314,0.018563301970994935,100,2
A,2024,QQQ_Log_Return_3D,0.5505952380952381,0.017767857142857175,0.01819080279577594,0.5135281385281385,0.004791666666666643,0.01475313684874071,100,3
A,2024,Stock_vs_QQQ_5D,0.5505952380952381,0.008874458874458918,0.022121628906641384,0.5135281385281385,0.0029924242424242175,0.0204537682098645,100,4
A,2024,Intraday_Return,0.5505952380952381,0.034832251082251124,0.01656274317460156,0.5135281385281385,0.0029897186147185982,0.01214606965993966,100,5
A,2024,Volatility_14D,0.5505952380952381,0.01425324675324679,0.020352294179134034,0.5135281385281385,0.0029545454545454263,0.015184454428324957,100,6
A,2024,Ticker,0.5505952380952381,-0.007962662337662312,0.004366802651377284,0.5135281385281385,-0.0025189393939394223,0.0020080925220168776,100,7
A,2024,QQQ_Log_Return_5D,0.5505952380952381,0.007959956709956724,0.012216836157767268,0.5135281385281385,-0.0027164502164502436,0.00917554586490082,100,8
A,2024,RSI_14,0.5505952380952381,0.027169913419913448,0.020768268270940683,0.5135281385281385,-0.0037175324675324884,0.02087131591947922,100,9
A,2024,Stock_vs_QQQ_1D,0.5505952380952381,0.013414502164502209,0.015023854813422586,0.5135281385281385,-0.007500000000000021,0.01227654443244258,100,10
A,2024,Stock_vs_QQQ_3D,0.5505952380952381,0.0008306277056277344,0.01704527039519558,0.5135281385281385,-0.012340367965367994,0.011527018083844473,100,11
A,2024,Price_to_SMA20,0.5505952380952381,0.012286255411255444,0.023568834823405774,0.5135281385281385,-0.021701839826839847,0.022652784778940945,100,12
A,2024,QQQ_Volatility_14D,0.5505952380952381,0.001837121212121241,0.01548799765110393,0.5135281385281385,-0.02226190476190479,0.016004033508080096,100,13
