Variant,Test_Year,Feature,Mean_Abs_SHAP,Mean_SHAP,Std_SHAP,Positive_Share,Negative_Share,Rank
A,2023,ticker__Ticker_AMZN,0.0,0.0,0.0,0.0,0.0,17
A,2023,ticker__Ticker_AVGO,0.0,0.0,0.0,0.0,0.0,18
A,2023,ticker__Ticker_GOOGL,0.0,0.0,0.0,0.0,0.0,19
A,2023,ticker__Ticker_INTC,0.0,0.0,0.0,0.0,0.0,20
A,2023,ticker__Ticker_META,0.0,0.0,0.0,0.0,0.0,21
A,2023,ticker__Ticker_MSFT,0.0,0.0,0.0,0.0,0.0,22
A,2023,ticker__Ticker_NFLX,0.0,0.0,0.0,0.0,0.0,23
A,2023,ticker__Ticker_NVDA,0.0,0.0,0.0,0.0,0.0,24
A,2023,ticker__Ticker_QCOM,0.0,0.0,0.0,0.0,0.0,25
A,2023,ticker__Ticker_TSLA,0.0,0.0,0.0,0.0,0.0,26
B,2023,market__QQQ_Log_Return_1D,0.30292978187060077,-0.06538972575454262,0.3459450790298309,0.3050847457627119,0.6949152542372882,1
B,2023,market__Stock_vs_QQQ_1D,0.2716991666830697,1.5890352049116362e-05,0.3277853619978837,0.6610169491525424,0.3389830508474576,2
B,2023,market__RSI_14,0.2636542871152445,-0.0014794792474831565,0.29878041437529035,0.3728813559322034,0.6271186440677966,3
B,2023,market__QQQ_Volatility_14D,0.23255020318458142,-0.22742915041429007,0.12241298615992165,0.05084745762711865,0.9491525423728814,4
B,2023,market__Stock_vs_QQQ_3D,0.20065891406483063,-0.036394809956772856,0.2271996059592602,0.4322033898305085,0.5677966101694916,5
B,2023,market__Stock_vs_QQQ_5D,0.19969149442168616,0.027203034562200815,0.2380664650061314,0.4067796610169492,0.5932203389830508,6
B,2023,market__Daily_Range,0.19759381179682026,0.04412594875636495,0.22499774339918152,0.7542372881355932,0.2457627118644068,7
B,2023,market__Volatility_14D,0.18495086213510673,-0.005036524788997436,0.20593652908786358,0.4576271186440678,0.5423728813559322,8
B,2023,market__Intraday_Return,0.17442938780127945,-0.013708709533941947,0.20711994014827284,0.423728813559322,0.576271186440678,9
B,2023,market__Relative_Volume_20D,0.16624900357703032,-0.039181133195505306,0.20872550330549533,0.3644067796610169,0.635593220338983,10
B,2023,market__Price_to_SMA20,0.148625012262235,-0.03402569784656546,0.16288160948283903,0.4152542372881356,0.5847457627118644,11
B,2023,market__QQQ_Log_Return_5D,0.10635257402624367,-0.00429374790134824,0.13497326316048003,0.6016949152542372,0.3983050847457627,12
B,2023,market__QQQ_Log_Return_3D,0.08244170433194456,0.03301613605818001,0.09511024622336367,0.5932203389830508,0.4067796610169492,13
B,2023,binary__Has_EX99,0.060629207735597074,0.002090841942166878,0.06593130611041584,0.4067796610169492,0.5932203389830508,14
B,2023,binary__Has_Event_Earnings,0.023264966526273953,-0.0045628977655354196,0.025060878485886055,0.4576271186440678,0.5423728813559322,15
B,2023,binary__Has_Item_8_01,0.014460309720361384,0.0015149384034576557,0.01762078880161084,0.788135593220339,0.211864406779661,16
B,2023,binary__Has_Event_Guidance,0.013377472825379948,0.001167759042769923,0.015775529131033056,0.6864406779661016,0.3135593220338983,17
B,2023,binary__Has_Item_2_02,0.01159084063236428,-0.00020872444995694746,0.013772264077588905,0.5169491525423728,0.4830508474576271,18
B,2023,ticker__Ticker_AVGO,0.0,0.0,0.0,0.0,0.0,19
B,2023,ticker__Ticker_AMD,0.0,0.0,0.0,0.0,0.0,20
B,2023,ticker__Ticker_AMZN,0.0,0.0,0.0,0.0,0.0,21
B,2023,ticker__Ticker_AAPL,0.0,0.0,0.0,0.0,0.0,22
B,2023,ticker__Ticker_ADBE,0.0,0.0,0.0,0.0,0.0,23
B,2023,ticker__Ticker_NFLX,0.0,0.0,0.0,0.0,0.0,24
B,2023,ticker__Ticker_MSFT,0.0,0.0,0.0,0.0,0.0,25
B,2023,ticker__Ticker_META,0.0,0.0,0.0,0.0,0.0,26
B,2023,ticker__Ticker_INTC,0.0,0.0,0.0,0.0,0.0,27
B,2023,ticker__Ticker_GOOGL,0.0,0.0,0.0,0.0,0.0,28
B,2023,ticker__Ticker_QCOM,0.0,0.0,0.0,0.0,0.0,29
B,2023,ticker__Ticker_TSLA,0.0,0.0,0.0,0.0,0.0,30
B,2023,ticker__Ticker_NVDA,0.0,0.0,0.0,0.0,0.0,31
B,2023,binary__Has_Item_1_01,0.0,0.0,0.0,0.0,0.0,32
B,2023,binary__Has_Event_Buyback,0.0,0.0,0.0,0.0,0.0,33
B,2023,binary__Has_Item_2_03,0.0,0.0,0.0,0.0,0.0,34
B,2023,binary__Has_Item_1_02,0.0,0.0,0.0,0.0,0.0,35
B,2023,binary__Has_Item_5_02,0.0,0.0,0.0,0.0,0.0,36
B,2023,binary__Has_Item_5_03,0.0,0.0,0.0,0.0,0.0,37
B,2023,binary__Has_Item_5_07,0.0,0.0,0.0,0.0,0.0,38
B,2023,binary__Has_Item_7_01,0.0,0.0,0.0,0.0,0.0,39
C,2023,market__QQQ_Log_Return_1D,0.268810735581348,-0.054406892484590665,0.3128296391242792,0.3135593220338983,0.6864406779661016,1
C,2023,market__Stock_vs_QQQ_1D,0.24497031437832925,-0.002066263329174559,0.2958935300304686,0.711864406779661,0.288135593220339,2
C,2023,market__QQQ_Volatility_14D,0.2391154485028553,-0.23220412187688685,0.12710402927562672,0.06779661016949153,0.9322033898305084,3
C,2023,market__RSI_14,0.2375189321494456,-0.008897432504947914,0.2612242954005825,0.3728813559322034,0.6271186440677966,4
