Variant,Feature,Mean_Abs_SHAP,Std_Abs_SHAP_Across_Folds,Mean_SHAP,Mean_Positive_Share,Mean_Negative_Share,N_Folds,Presence_Rate
B,ticker__Ticker_AMZN,0.0,0.0,0.0,0.0,0.0,4,1.0
B,ticker__Ticker_AVGO,0.0,0.0,0.0,0.0,0.0,4,1.0
B,ticker__Ticker_GOOGL,0.0,0.0,0.0,0.0,0.0,4,1.0
B,ticker__Ticker_META,0.0,0.0,0.0,0.0,0.0,4,1.0
B,ticker__Ticker_NFLX,0.0,0.0,0.0,0.0,0.0,4,1.0
B,ticker__Ticker_NVDA,0.0,0.0,0.0,0.0,0.0,4,1.0
B,ticker__Ticker_QCOM,0.0,0.0,0.0,0.0,0.0,4,1.0
B,ticker__Ticker_TSLA,0.0,0.0,0.0,0.0,0.0,4,1.0
C,market__RSI_14,0.2400290800536346,0.032960691610637013,0.0035539416127026843,0.4150856185122648,0.5849143814877352,4,1.0
C,market__QQQ_Log_Return_1D,0.22214994985466613,0.04935862167380586,-0.032735823891884785,0.33986996922221985,0.6601300307777802,4,1.0
C,market__Stock_vs_QQQ_1D,0.21574458319046913,0.04678916245154585,0.002320035048458771,0.6576870979118131,0.3423129020881869,4,1.0
C,market__Stock_vs_QQQ_5D,0.20383621810507468,0.011527469783271068,0.018785999172258934,0.3892552329350746,0.6107447670649254,4,1.0
C,market__QQQ_Volatility_14D,0.1863066969743305,0.07542141999791815,-0.1330726537457457,0.22969347788915725,0.7703065221108427,4,1.0
C,market__Daily_Range,0.18447870643155065,0.04082020274387972,0.01607320598198632,0.7090637445586737,0.2909362554413263,4,1.0
C,market__Price_to_SMA20,0.1607892286328661,0.0330016327691238,-0.013486464111599681,0.4658437261774995,0.5341562738225005,4,1.0
C,market__Volatility_14D,0.1512982895397076,0.00141700268430809,0.013326037603428547,0.451230443285528,0.5487695567144719,4,1.0
C,market__Relative_Volume_20D,0.1477778800195156,0.03197111388871599,-0.021669350511279363,0.4835996110030564,0.5164003889969436,4,1.0
C,market__Stock_vs_QQQ_3D,0.12943666454388172,0.05386726892174993,-0.007333146743431376,0.4703734655637962,0.5296265344362038,4,1.0
C,market__QQQ_Log_Return_3D,0.12879105753985753,0.055972297772861494,-0.020205044665523513,0.34586630189297596,0.654133698107024,4,1.0
C,sentiment__Mean_Net_Sentiment,0.12666730962143888,0.03321827607070285,-0.006868418165320322,0.48573004609542536,0.5142699539045746,4,1.0
C,market__Intraday_Return,0.12250703221858843,0.024708467281241167,-0.012524902387848163,0.5151701060123539,0.48482989398764614,4,1.0
C,sentiment__Sentiment_Momentum_3,0.12132855262965281,0.031608449329384454,-0.016879157181353608,0.5190778599468513,0.4809221400531487,4,1.0
C,market__QQQ_Log_Return_5D,0.09781114840893175,0.025281600234001507,0.005056737806824431,0.5694457060721996,0.4305542939278005,4,1.0
C,ticker__Ticker_INTC,0.04782905185613652,0.04221461392641472,-0.002996132691542901,0.6520549600672552,0.09794503993274485,4,1.0
C,binary__Has_EX99,0.032663307191106404,0.008723913570141477,-0.0002818700680598927,0.4406303923454521,0.5593696076545479,4,1.0
C,binary__Has_Item_8_01,0.019795779925988476,0.015659672443150096,0.002139410874509602,0.5801912123025627,0.16980878769743732,4,1.0
C,binary__Has_Event_Guidance,0.011682530253622645,0.009884494326151074,0.0009043651829754951,0.1984032156368222,0.5515967843631778,4,1.0
C,binary__Has_Item_2_02,0.009607548916245224,0.012607338871222527,0.0003185704326717914,0.28789113428943935,0.21210886571056062,4,1.0
C,binary__Has_Event_Earnings,0.009280946228214624,0.01465312393555738,-0.000477940294244785,0.26104139504563234,0.23895860495436766,4,1.0
C,binary__Has_Item_7_01,0.009067976346800531,0.010701986951591701,5.2645570144332064e-05,0.0698297604035309,0.4301702395964691,4,1.0
C,binary__Has_Item_1_01,0.008733140742137598,0.011889034058826181,-0.0008176009213396658,0.03849358974358974,0.46150641025641026,4,1.0
