Sequence_Step,Feature,Mean_Abs_IG,Mean_IG,Positive_Share,Negative_Share
2,QQQ_Log_Return_5D,0.0008081491105258465,-0.00017960788682103157,0.5046728971962616,0.4953271028037383
2,QQQ_Volatility_14D,0.001506970264017582,-0.0009943860350176692,0.205607476635514,0.794392523364486
3,Log_Return_1D_Z60,0.0026855941396206617,0.00048813092871569097,0.5327102803738317,0.4672897196261682
3,Log_Return_5D_Z60,0.0005853359471075237,-1.9880877516698092e-05,0.42990654205607476,0.5700934579439252
3,Volatility_14D_Z60,0.0011004991829395294,-0.00017698085866868496,0.5420560747663551,0.45794392523364486
3,Relative_Volume_20D_Z60,0.0010618118103593588,-2.3463997422368266e-05,0.45794392523364486,0.5420560747663551
3,RSI_14_Scaled,0.006844779476523399,-0.000660090649034828,0.3925233644859813,0.6074766355140186
3,Price_to_SMA20_Z60,0.003507699817419052,0.0005147774354554713,0.5700934579439252,0.42990654205607476
3,Intraday_Return_Z60,0.0021576376166194677,-0.00030087909544818103,0.42990654205607476,0.5700934579439252
3,Daily_Range_Z60,0.0020190624054521322,4.7630510380258784e-05,0.6074766355140186,0.3925233644859813
3,QQQ_Log_Return_1D,0.0009820068953558803,5.945998509560013e-06,0.5700934579439252,0.42990654205607476
3,QQQ_Log_Return_5D,0.0008596836123615503,-0.00035433837911114097,0.40186915887850466,0.5981308411214953
3,QQQ_Volatility_14D,0.0015142522752285004,-0.0009083846234716475,0.22429906542056074,0.7757009345794392
4,Log_Return_1D_Z60,0.003410371718928218,0.0014924922725185752,0.5327102803738317,0.4672897196261682
4,Log_Return_5D_Z60,0.0006324797868728638,-7.874107541283593e-05,0.4672897196261682,0.5327102803738317
4,Volatility_14D_Z60,0.0011260353494435549,-0.00015971038374118507,0.5420560747663551,0.45794392523364486
4,Relative_Volume_20D_Z60,0.0011241596657782793,0.00030070575303398073,0.5046728971962616,0.4953271028037383
4,RSI_14_Scaled,0.0071875546127557755,-0.0012781884288415313,0.38317757009345793,0.616822429906542
4,Price_to_SMA20_Z60,0.003650668542832136,0.0010870681144297123,0.5887850467289719,0.411214953271028
4,Intraday_Return_Z60,0.0021036711987107992,-0.0004858482861891389,0.48598130841121495,0.514018691588785
4,Daily_Range_Z60,0.0019617772195488214,0.00010210834443569183,0.6074766355140186,0.3925233644859813
4,QQQ_Log_Return_1D,0.000958229589741677,-8.99258884601295e-05,0.5046728971962616,0.4953271028037383
4,QQQ_Log_Return_5D,0.0008943143766373396,-0.0004657728422898799,0.3925233644859813,0.6074766355140186
4,QQQ_Volatility_14D,0.0015370809705927968,-0.0009005768224596977,0.21495327102803738,0.7850467289719626
5,Log_Return_1D_Z60,0.0031073393765836954,0.0006180656491778791,0.5046728971962616,0.4953271028037383
5,Log_Return_5D_Z60,0.0007264844607561827,-0.0001490362046752125,0.5327102803738317,0.4672897196261682
5,Volatility_14D_Z60,0.0012207579566165805,-0.00033707974944263697,0.4953271028037383,0.5046728971962616
5,Relative_Volume_20D_Z60,0.0010430184192955494,-0.000143332828884013,0.4392523364485981,0.5607476635514018
5,RSI_14_Scaled,0.007673207204788923,-0.0016049593687057495,0.3644859813084112,0.6355140186915887
5,Price_to_SMA20_Z60,0.003987307194620371,0.0011651049135252833,0.6074766355140186,0.3925233644859813
5,Intraday_Return_Z60,0.0022170681040734053,-0.00012295469059608877,0.5046728971962616,0.4953271028037383
5,Daily_Range_Z60,0.002025556517764926,2.2912450731382705e-05,0.6074766355140186,0.3925233644859813
5,QQQ_Log_Return_1D,0.0010012482525780797,3.2485861538589234e-06,0.48598130841121495,0.514018691588785
5,QQQ_Log_Return_5D,0.000917804311029613,-0.0005237349541857839,0.3644859813084112,0.6355140186915887
5,QQQ_Volatility_14D,0.0015868432819843292,-0.0008996657561510801,0.205607476635514,0.794392523364486
6,Log_Return_1D_Z60,0.0031805478502064943,0.0008178380667231977,0.45794392523364486,0.5420560747663551
6,Log_Return_5D_Z60,0.0007710049394518137,-0.00018105897470377386,0.4672897196261682,0.5327102803738317
6,Volatility_14D_Z60,0.001218220335431397,-0.00041339287417940795,0.514018691588785,0.48598130841121495
6,Relative_Volume_20D_Z60,0.001116282306611538,0.0001507409760961309,0.4953271028037383,0.5046728971962616
