Variant,Feature,Mean_Importance,Std_Importance_Across_Folds,N_Folds,Presence_Rate
C,binary__Has_Item_7_01,0.02333350724537203,0.010702698643691222,4,1.0
C,ticker__Ticker_MSFT,0.023207047981615596,0.018454056952135346,4,1.0
C,binary__Has_EX99,0.023206235672293667,0.00982825584224559,4,1.0
C,sentiment__Mean_Net_Sentiment,0.021931311012192777,0.0013428313146191153,4,1.0
C,ticker__Ticker_AAPL,0.021906355748991323,0.007831499093897666,4,1.0
C,binary__Has_Item_1_02,0.021870631839783584,0.005224816224757683,4,1.0
C,binary__Has_Item_5_02,0.021820225637248756,0.00759742638058553,4,1.0
C,binary__Has_Item_2_03,0.021764531588236158,0.007784106482947582,4,1.0
C,binary__Has_Item_5_03,0.02097939565633769,0.01047662201131577,4,1.0
C,binary__Has_Item_2_02,0.020571432600396452,0.007612513430996559,4,1.0
C,ticker__Ticker_AVGO,0.019362297572863913,0.00615930304139933,4,1.0
C,binary__Has_Item_8_01,0.01932062362494347,0.010597827779370727,4,1.0
C,binary__Has_Event_Buyback,0.019283289302993868,0.011528678359020899,4,1.0
C,market__QQQ_Log_Return_5D,0.019168905996150145,0.0045686481435351966,4,1.0
C,ticker__Ticker_AMZN,0.019161100225099918,0.009877249171451994,4,1.0
C,market__Stock_vs_QQQ_5D,0.018672405666039615,0.0038144570857433437,4,1.0
C,ticker__Ticker_ADBE,0.01695224618524288,0.011081949911152736,4,1.0
C,binary__Has_Event_Earnings,0.01651643187698123,0.004368768122727681,4,1.0
C,market__RSI_14,0.016301264923484403,0.00450514976035711,4,1.0
C,binary__Has_Item_2_01,0.015710724125872027,0.003221115719072998,3,0.75
C,sentiment__Sentiment_Momentum_3,0.015574461234832648,0.005077936080962706,4,1.0
C,ticker__Ticker_NVDA,0.015273473232631497,0.0054077144095726086,4,1.0
C,ticker__Ticker_NFLX,0.014448129357575968,0.007839556433092943,4,1.0
C,binary__Has_Item_5_07,0.013463561819502892,0.0059455398204734874,4,1.0
C,ticker__Ticker_AMD,0.010591778475009582,0.004778543382069841,4,1.0
C,binary__Has_Sentiment_History,0.010301345632541321,0.003959143759458394,4,1.0
