,count,mean,std,min,1%,5%,50%,95%,99%,max
Unweighted_Mean_Negative,935.0,0.023843708804413073,0.09039151600923578,4.767380712422664e-09,1.6669927571655306e-08,6.478597425640942e-07,1.8820850444948672e-05,0.16872962413120923,0.4073191648628862,0.9972103238105774
Unweighted_Mean_Neutral,935.0,0.739888291572979,0.301190640309102,2.696140484204079e-07,6.5922932753892386e-06,0.16887003141455914,0.9348210096359252,0.9999923646450043,0.9999963241815567,0.9999984502792358
Unweighted_Mean_Net_Sentiment,935.0,0.21242429184831849,0.30673231434838494,-0.996818361687474,-0.3703262548489874,-0.0251043593161739,0.0003101599909314,0.7545374103352646,0.9999933475889166,0.9999997568140402
Sentiment_Total_Tokens,935.0,2851.7839572192515,33689.60186971005,5.0,20.0,92.20000000000002,944.0,6391.199999999999,9732.239999999996,1028362.0
Max_Positive_Probability,935.0,0.45376442866371136,0.4921234014418328,8.186640911844734e-07,1.382530554110417e-06,4.121821802982595e-06,0.0054555796086788,1.0,1.0,1.0
Max_Negative_Probability,935.0,0.09302264076121673,0.2591570366476829,4.767380712422664e-09,2.4015530861731805e-08,1.0945459393951753e-06,5.69736075703986e-05,0.9246771991252898,0.9994525420665741,0.999997854232788
Most_Positive_Block_ID,935.0,1.102673796791444,2.280196682674287,0.0,0.0,0.0,0.0,5.0,12.0,20.0
Most_Negative_Block_ID,935.0,4.047058823529412,62.36212140126168,0.0,0.0,0.0,1.0,7.0,14.659999999999968,1907.0
Has_Item_1_01,935.0,0.08128342245989305,0.27341613164150985,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Has_Item_1_02,935.0,0.013903743315508022,0.11715420819479722,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Has_Item_1_05,935.0,0.0010695187165775401,0.03270349700838643,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Has_Item_2_01,935.0,0.009625668449197862,0.09768941401314968,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Has_Item_2_02,935.0,0.4021390374331551,0.4905921365650473,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Has_Item_2_03,935.0,0.03529411764705882,0.18462095585884758,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Has_Item_2_05,935.0,0.0032085561497326204,0.056583439095011234,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Has_Item_3_02,935.0,0.011764705882352941,0.10788301735645768,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Has_Item_3_03,935.0,0.0021390374331550803,0.04622496342003768,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Has_Item_5_02,935.0,0.2427807486631016,0.4289931068331514,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Has_Item_5_03,935.0,0.04171122994652406,0.20003549479485333,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Has_Item_5_07,935.0,0.09518716577540107,0.2936303489899405,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Has_Item_5_08,935.0,0.0010695187165775401,0.032703497008386435,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Has_Item_7_01,935.0,0.14224598930481283,0.3494892011738118,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Has_Item_8_01,935.0,0.24171122994652405,0.428349331652667,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Session_Mean_Net_Sentiment,935.0,0.23790981240103598,0.3377423231227646,-0.996818361687474,-0.30073306809275185,-0.0251043593161739,0.0003368805163449,0.9139174273261683,0.9999933475889166,0.9999997568140402
Previous_Sentiment_Mean_3,923.0,0.23926176788872933,0.19560469053903487,-0.2999707824307105,-0.10091592495590215,-0.006019047655345797,0.2088764823922462,0.6036445240491494,0.7390494138593338,0.9840342148083892
Sentiment_History_Count_3,935.0,2.9197860962566846,0.4228281921847985,0.0,0.0,3.0,3.0,3.0,3.0,3.0
Sentiment_Momentum_3,923.0,-0.0039160176573175345,0.3913433379413723,-1.4530710638265465,-0.8525805712914127,-0.6027458797706374,-0.0777277295756577,0.6677060068520408,0.9015708440102013,1.2040303412889393
Cutoff_Adj_Close,935.0,179.55717297875307,149.36250814077653,6.4939398765563965,12.303694343566896,23.25774211883545,143.22349548339844,496.3399963378905,645.54611328125,749.7200927734375
Log_Return_1D,935.0,0.0022474527369527406,0.03127533159803886,-0.1866756477009241,-0.07526139004862954,-0.044459436830135625,0.0012987560805733,0.045505106840368424,0.09126228705065739,0.2118794191803223
Log_Return_3D,935.0,0.004729392861370631,0.04770101894737555,-0.2083074001900642,-0.1159009146238865,-0.06898868547008118,0.0022254373271021,0.08381429913108514,0.1417166880193201,0.2196966063044879
Log_Return_5D,935.0,0.007939054645958416,0.06280066050816077,-0.2706367196002691,-0.15359440185929993,-0.0862479303855616,0.0060060852181739,0.11462537481358452,0.18607489295637633,0.3469845911836962
Volatility_14D,935.0,0.025781540610545287,0.014820876593892094,0.0054421950267762,0.0075891013159949785,0.01041335514110925,0.0218900196155198,0.054684592027274236,0.08282333709423889,0.1072046349604321
Relative_Volume_20D,935.0,1.2834186131924543,0.6275304508172653,0.3602834430720575,0.4482726352394048,0.5918848161797756,1.12977376898507,2.526590810595035,3.2800345624455147,6.548034360469974
RSI_14,935.0,53.69513044001375,12.107028672875401,22.45138978565905,26.45962951721549,33.02521953140557,54.029635431928405,73.72375007419458,79.41027069459453,85.79316786804955
Price_to_SMA20,935.0,0.0151550624812512,0.07078397410825103,-0.3413830393442763,-0.15666733678333394,-0.08844645895537484,0.0142515189138219,0.13411904463713858,0.21391092621049607,0.385969049747088
Intraday_Return,935.0,0.0012988050112802707,0.022799657235037196,-0.1027429772251624,-0.05226035509580093,-0.03560761087173012,0.001085266586422,0.035325700208576095,0.0656380094679625,0.141286356256997
Daily_Range,935.0,0.03292274088496776,0.019301718522333058,0.0082954926924272,0.010504793836855868,0.013211528363755609,0.0280816148572495,0.06706074428840936,0.1119074846933104,0.2187353922342534
Log_Return_1D_Z60,935.0,0.044517460439322906,1.1576042508877102,-4.955352000959975,-3.0726631491285175,-1.6570849028631804,0.0154933672869015,1.7296485113640463,3.3257070893279015,6.5856885276458765
Log_Return_3D_Z60,935.0,0.01813115720352364,1.094560224233934,-5.714156050222863,-2.595694826572425,-1.7454695302528158,-0.0266848555449263,1.8655276223488697,2.7042990023121836,3.984519884781088
Log_Return_5D_Z60,935.0,0.04485698686201385,1.1340872187827578,-5.368838330612217,-3.1614759739339116,-1.74753425282029,0.0183990557755291,1.8418970539415598,2.9440125626667997,4.506466859679159
Volatility_14D_Z60,935.0,0.05632341366599034,1.322833720926199,-3.345423223787062,-2.054642669435456,-1.6161755597855463,-0.225661469526218,2.5646510859541705,3.9568538770388484,6.079385954522016
Relative_Volume_20D_Z60,935.0,0.7485095616524143,1.6290970939505978,-2.073234141559815,-1.358465172431501,-1.0276142197146607,0.3109670472882566,3.9105804255416112,6.262769244945951,9.088519832264334
Price_to_SMA20_Z60,935.0,0.059868687868495536,1.2277211169698297,-4.531185683343487,-3.2216158680640796,-1.9268356671938092,0.0962366522180096,2.0589962511230984,2.876508663738436,4.941754076716546
Intraday_Return_Z60,935.0,0.02179813301569122,1.083141400448946,-3.250100847807642,-2.5373589148360005,-1.7872952206774253,0.0113158586086452,1.783680171801634,2.8092676360100213,4.879769971051171
Daily_Range_Z60,935.0,0.16640972604410306,1.1811104136066126,-1.7632787155665774,-1.4659055238582828,-1.1255696412692178,-0.1176991577670661,2.189907760541899,4.411686703848513,10.198522532084628
Event_Open,935.0,181.5074281167219,148.89394910256078,6.386499881744385,12.862540111541747,23.831999206542967,146.5500030517578,501.1100128173826,644.4427856445312,775.2000122070312
Event_Close,935.0,180.9644663514938,148.27700156419579,6.076749801635742,12.795755252838134,23.59559993743897,146.13999938964844,493.75899353027336,647.326396484375,773.4400024414062
Event_Adj_Close,935.0,178.91635936492267,148.30891022361737,6.0459699630737305,12.743349590301513,22.695653915405273,141.19772338867188,493.53130187988273,646.7615795898437,770.913330078125
QQQ_Cutoff_Adj_Close,935.0,397.8145931305095,140.56404944572517,164.44493103027344,185.13851013183594,212.60858306884768,355.6649475097656,661.72998046875,722.7485510253906,743.39306640625
QQQ_Log_Return_1D,935.0,0.0010292220223212046,0.016964255997252712,-0.0961709758863456,-0.04131871351910792,-0.0245196482808217,0.0014448514019386,0.026976014725793702,0.0413911608888593,0.1133562014715063
QQQ_Log_Return_3D,935.0,0.0018955999270599988,0.025317031053076384,-0.1198645060802938,-0.0617545192292875,-0.03526910993944875,0.0027977453677177,0.040591008529356314,0.0726489447203625,0.1184735749500957
QQQ_Log_Return_5D,935.0,0.0031259464738873323,0.03225057497033028,-0.1766942534113323,-0.08462452811336414,-0.04889272062462685,0.0054153531263659,0.0554070868098696,0.07435224879332014,0.119202997559973
QQQ_Volatility_14D,935.0,0.014312645130700338,0.008305908528081142,0.0033832629971777,0.004905173547657838,0.00658043616562227,0.0122724426152834,0.0262169781209533,0.0514081934565741,0.0667143198196432
QQQ_Event_Open,935.0,404.28476973752925,138.29256406454212,174.14999389648438,186.97759765625,220.08299865722657,364.8299865722656,665.3499755859375,725.5800170898438,742.02001953125
QQQ_Event_Close,935.0,404.3529622450232,138.24608659025978,169.3000030517578,190.9099938964844,219.25899963378907,364.4299926757813,667.739990234375,722.3168139648437,744.0
QQQ_Event_Adj_Close,935.0,398.1685724595014,140.79090052902026,162.97853088378906,184.1733074951172,211.50169525146484,355.0340881347656,667.0069580078125,722.047578125,743.1832885742188
Stock_vs_QQQ_1D,935.0,0.0012182307146315335,0.023616422103560925,-0.1898280942527465,-0.05598966888719756,-0.03281964309964136,0.0006838044492229,0.03316952564677765,0.06312717860938534,0.1961748086325127
Stock_vs_QQQ_3D,935.0,0.00283379293431063,0.036684756126265886,-0.1899847891874531,-0.09670060653856097,-0.050688088729518355,0.0016238397767853,0.059377901250725354,0.12080765574955746,0.2042527265362927
Stock_vs_QQQ_5D,935.0,0.004813108172071084,0.048386061413627675,-0.2725522984633879,-0.1254474640998646,-0.06172340547294302,0.0022066463080368,0.08492660619965427,0.1583670327599722,0.3222403426972173
Event_Return_1D,935.0,-0.0009677106226192857,0.05904867091482486,-0.3511660755113311,-0.15800918667710337,-0.08975457151833924,-0.0008975138235036,0.09686415378973023,0.17342260944421964,0.2443264871542692
Target_Event_1D,935.0,0.4898395721925134,0.500164294137874,0.0,0.0,0.0,0.0,1.0,1.0,1.0
QQQ_Event_Return_1D,935.0,0.0009757571262862007,0.018069769286944124,-0.1197879011558007,-0.0449985399574529,-0.02774148951370341,0.0032162190617246,0.026610065403553304,0.040298587504153514,0.0847053054195885
Abnormal_Event_Return_1D,935.0,-0.0019434677489054894,0.05190965722412191,-0.3365816077008038,-0.14420445329478862,-0.08288872445799286,-0.0023302200023396,0.08580781968059979,0.14688418132154651,0.2366721755825886
Target_Abnormal_1D,935.0,0.4556149732620321,0.4982926109364769,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Event_Return_Open_Close,935.0,-0.002248162246480272,0.027629253734832538,-0.1117039308351921,-0.08263041452707559,-0.04549168056010228,-0.0019654537484083,0.041458365667410485,0.06490194918077472,0.1131828768708633
QQQ_Event_Return_Open_Close,935.0,0.00030531023397349286,0.012104972174686212,-0.0607461660131685,-0.031893756403155074,-0.021560843431456058,0.0014491467218149,0.01717464239480407,0.030253401678360426,0.0436721541988351
Tradable_Abnormal_Return_1D,935.0,-0.0025534724804537707,0.02171655752291967,-0.0992032878490386,-0.06923317361538779,-0.038203742628923835,-0.0019347679089893,0.03330213832309177,0.0520629186600223,0.0890868204927668
Target_Tradable_Abnormal_1D,935.0,0.45133689839572194,0.4978925918899499,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Signal_Lead_Minutes,935.0,1353.325026737968,1207.252862014639,15.316666666666666,23.750666666666667,58.67333333333333,1032.9,3919.6766666666667,5362.930666666667,5369.6
Signal_Available_Before_Open,935.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Use_In_Primary_Model,935.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Year,935.0,2022.8117647058823,2.016227153872324,2020.0,2020.0,2020.0,2023.0,2026.0,2026.0,2026.0
Event_Filing_Count,935.0,1.011764705882353,0.10788301735645767,1.0,1.0,1.0,1.0,1.0,2.0,2.0
Has_Sentiment_History,935.0,0.9871657754010695,0.1126191460668542,0.0,0.0,1.0,1.0,1.0,1.0,1.0
