Test_Year,Feature,Feature_Value,ALE,Count
2024,Stock_vs_QQQ_1D,0.0514219508647464,-0.07605644544788026,13
2024,QQQ_Log_Return_1D,-0.03026972834353,0.05457806172755549,0
2024,QQQ_Log_Return_1D,-0.0170669491911452,0.05759069897551337,13
2024,QQQ_Log_Return_1D,-0.0087669380107297,0.0208911191681685,12
2024,QQQ_Log_Return_1D,-0.0064745265181275,-0.04263685234629996,13
2024,QQQ_Log_Return_1D,-0.0040098124737686,-0.049500649586117614,11
2024,QQQ_Log_Return_1D,0.0001590333748603,-0.03839609833618466,12
2024,QQQ_Log_Return_1D,0.0030617158384243,-0.0253397661002712,12
2024,QQQ_Log_Return_1D,0.0058576497713022,-0.016587960829319244,12
2024,QQQ_Log_Return_1D,0.0104450393297202,0.0002839370967636576,12
2024,QQQ_Log_Return_1D,0.0148126380386594,0.03983159954542985,13
2024,QQQ_Log_Return_1D,0.0301323640255076,0.03459354425545012,12
2024,Relative_Volume_20D,0.4212512112465464,-0.007323892851678051,0
2024,Relative_Volume_20D,0.6765704163414966,0.05925859501944194,13
2024,Relative_Volume_20D,0.7996368622081594,0.03458061145249195,12
2024,Relative_Volume_20D,0.8735644743173143,0.03146008254735196,12
2024,Relative_Volume_20D,0.9635406169034628,0.024587018353817346,12
2024,Relative_Volume_20D,1.1457787115739329,0.025000136507670613,12
2024,Relative_Volume_20D,1.3800449824943466,0.026231193342446397,12
2024,Relative_Volume_20D,1.6338804897918129,-0.03837333320831365,12
2024,Relative_Volume_20D,2.0397102352881142,-0.05483097881458324,12
2024,Relative_Volume_20D,2.385905380399433,-0.05483097881458324,12
2024,Relative_Volume_20D,3.959581927800065,-0.09101487095313897,13
2025,Stock_vs_QQQ_1D,-0.0463702326699463,-0.009637428449943445,0
2025,Stock_vs_QQQ_1D,-0.0232469027955351,0.022494215854847857,15
2025,Stock_vs_QQQ_1D,-0.0137404767240739,0.024058526177844923,15
2025,Stock_vs_QQQ_1D,-0.0090697151112348,0.01986318568023404,15
2025,Stock_vs_QQQ_1D,-0.0046905242278197,0.020091397843489345,15
2025,Stock_vs_QQQ_1D,-0.0002754592777741,0.024130388703399022,15
2025,Stock_vs_QQQ_1D,0.0033592560299223,-0.0003250685269474401,15
2025,Stock_vs_QQQ_1D,0.0089911071033754,-0.004457793676211587,15
2025,Stock_vs_QQQ_1D,0.0144378398773182,-0.03334275804123023,15
2025,Stock_vs_QQQ_1D,0.0277718071659618,-0.04986183655446573,15
2025,Stock_vs_QQQ_1D,0.1961748086325127,-0.03566308647197698,15
2025,QQQ_Log_Return_1D,-0.0278948807730867,0.10724835547778362,0
2025,QQQ_Log_Return_1D,-0.0116430850159672,0.08798403124512488,15
2025,QQQ_Log_Return_1D,-0.0046405075895972,-0.019933786418542696,15
2025,QQQ_Log_Return_1D,-0.001880001216601,-0.031243669889960732,15
2025,QQQ_Log_Return_1D,0.000327346334867,-0.01951342598411117,15
2025,QQQ_Log_Return_1D,0.0018695473323328,0.0024973208111483958,15
2025,QQQ_Log_Return_1D,0.0043428666923715,-0.004215609719415966,16
2025,QQQ_Log_Return_1D,0.0058036357172562,-0.004215609719415966,14
2025,QQQ_Log_Return_1D,0.0090107767756357,-0.0016019746907400406,15
2025,QQQ_Log_Return_1D,0.015309536306763,0.012416801757652696,15
2025,QQQ_Log_Return_1D,0.1133562093788578,-0.15204403896329988,15
2025,Relative_Volume_20D,0.3602834430720575,0.06002094315049681,0
2025,Relative_Volume_20D,0.5959073347114646,0.06002094315049681,15
2025,Relative_Volume_20D,0.7439437204624673,0.012896567431137644,15
2025,Relative_Volume_20D,0.8427779523268614,0.006822138931443081,15
2025,Relative_Volume_20D,0.9390473922137256,0.008087590510693056,15
2025,Relative_Volume_20D,1.0246635604104215,0.008087590510693056,15
2025,Relative_Volume_20D,1.1875935912618794,0.00993851033390409,15
2025,Relative_Volume_20D,1.4130907476288768,0.0210118299215964,15
2025,Relative_Volume_20D,1.7273028213156267,-0.0637417163417994,15
2025,Relative_Volume_20D,2.081274247767505,-0.08144178509569189,15
2025,Relative_Volume_20D,6.548034360469974,-0.023384281855442467,15
2026,Stock_vs_QQQ_1D,-0.1898280942527465,-0.027062126502673624,0
2026,Stock_vs_QQQ_1D,-0.0332724409982563,0.04304255207601481,11
2026,Stock_vs_QQQ_1D,-0.013775392827631,0.03131185415495939,10
2026,Stock_vs_QQQ_1D,-0.0079498387008519,0.03131185415495939,10
2026,Stock_vs_QQQ_1D,-0.0043993770745153,0.01876511751307853,11
2026,Stock_vs_QQQ_1D,-0.0020384683907204,0.01326744456305206,10
2026,Stock_vs_QQQ_1D,0.0028499825248007,-0.005644464593240816,10
2026,Stock_vs_QQQ_1D,0.0082538376036155,-0.009973027968284566,11
2026,Stock_vs_QQQ_1D,0.0131528711775577,-0.025309313769426932,10
2026,Stock_vs_QQQ_1D,0.028519758016326,-0.051930478433080504,10
2026,Stock_vs_QQQ_1D,0.1929325618322622,-0.05679262865278764,11
2026,QQQ_Log_Return_1D,-0.0491912813665213,0.07289879651206116,0
2026,QQQ_Log_Return_1D,-0.0176234025449109,0.05438042302991143,12
2026,QQQ_Log_Return_1D,-0.0151574814026373,0.05438042302991143,10
2026,QQQ_Log_Return_1D,-0.0059448319508432,-0.04451181663869322,9
2026,QQQ_Log_Return_1D,-0.0026167416357909,-0.03335217810811689,11
2026,QQQ_Log_Return_1D,0.001145970701089,-0.03510455460644758,11
2026,QQQ_Log_Return_1D,0.0033060597474741,-0.027299056164663202,10
2026,QQQ_Log_Return_1D,0.00609495624219,-0.018485660612517482,10
2026,QQQ_Log_Return_1D,0.0111550227168346,-0.016112544045497917,10
2026,QQQ_Log_Return_1D,0.017994109443091,-0.0008115113080825465,10
2026,QQQ_Log_Return_1D,0.033403814366122,0.046525813585457904,11
2026,Relative_Volume_20D,0.4409365856713176,0.0317081935049462,0
2026,Relative_Volume_20D,0.7017899840958908,0.032187176203901754,11
2026,Relative_Volume_20D,0.8280217877840864,0.03246241343572347,10
2026,Relative_Volume_20D,0.917637222615181,0.014713652175227701,10
2026,Relative_Volume_20D,1.0148555775099328,0.009500579188476646,11
2026,Relative_Volume_20D,1.176493130540551,0.006551433637974426,10
2026,Relative_Volume_20D,1.239071910827686,0.006551433637974426,10
2026,Relative_Volume_20D,1.4045721393833832,0.038293273154866844,11
2026,Relative_Volume_20D,1.4744126703352989,-0.05214006310998314,10
2026,Relative_Volume_20D,1.9828699705995865,-0.07117502577585127,10
2026,Relative_Volume_20D,3.350007816163827,-0.06525078800956557,11
